,TPX_Open,TPX_High,TPX_Low,TPX_Close,TPX_Adj Close,TPX_Volume,TPX_Dividend Amount,TPX_Split Coefficient
2024-08-09,49.77,50.095,49.34,49.87,49.7446742702494,1071470,0.0,1.0
2024-08-08,48.52,50.17,48.23,49.6,49.4753527933501,2067399,0.0,1.0
2024-08-07,48.5,49.44,47.745,47.8,47.6798762806882,2116935,0.0,1.0
2024-08-06,45.79,49.53,45.58,48.23,48.1087956698241,3528449,0.0,1.0
2024-08-05,47.0,49.12,46.5,48.6,48.4778658418713,2972658,0.0,1.0
2024-08-02,49.6,49.91,48.38,49.01,48.8868354919776,2018431,0.0,1.0
2024-08-01,52.49,52.97,50.32,51.01,50.8818093949352,1655482,0.0,1.0
2024-07-31,52.25,53.54,51.32,52.35,52.2184419099169,1417352,0.0,1.0
2024-07-30,52.26,52.7,51.61,51.99,51.8593466073845,1002629,0.0,1.0
2024-07-29,52.46,52.59,51.71,52.1,51.9690701720472,1338426,0.0,1.0
2024-07-26,52.0,52.55,51.67,52.31,52.1785424318577,1220753,0.0,1.0
2024-07-25,50.2,51.85,49.71,50.99,50.8618596559057,1432919,0.0,1.0
2024-07-24,51.38,51.665,50.15,50.2,50.0738449642374,838529,0.0,1.0
2024-07-23,51.11,52.35,50.83,51.67,51.5401507829113,1178956,0.0,1.0
2024-07-22,51.75,51.77,50.62,51.3,51.1710806108641,1413711,0.0,1.0
2024-07-19,51.98,52.26,51.19,51.58,51.4503769572782,1410349,0.0,1.0
2024-07-18,53.55,54.345,51.63,51.98,51.8493717378697,2673896,0.0,1.0
2024-07-17,52.99,54.23,52.83,53.55,53.4154262516915,2584623,0.0,1.0
2024-07-16,50.12,53.51,50.01,53.49,53.3555770346027,1966236,0.0,1.0
2024-07-15,49.96,50.24,49.26,49.7,49.575101488498,1540442,0.0,1.0
2024-07-12,49.24,50.68,49.0,49.81,49.6848250531606,2074417,0.0,1.0
2024-07-11,47.89,48.85,47.89,48.84,48.7172627102262,4838092,0.0,1.0
2024-07-10,46.17,46.7682,45.91,46.67,46.5527160255171,1406630,0.0,1.0
2024-07-09,47.03,47.41,45.8,45.89,45.7746762033636,1926030,0.0,1.0
2024-07-08,45.61,47.65,45.61,47.45,47.3307558476706,2817108,0.0,1.0
2024-07-05,46.69,47.09,45.04,45.22,45.1063599458728,2757826,0.0,1.0
2024-07-03,48.2,48.27,46.7,46.77,46.652464720665,1352584,0.0,1.0
2024-07-02,46.82,48.55,46.56,48.32,48.1985694954572,2704036,0.0,1.0
2024-07-01,47.17,47.78,46.56,47.21,47.0913589793157,1800897,0.0,1.0
2024-06-28,46.25,47.61,46.25,47.34,47.2210322830079,6294949,0.0,1.0
2024-06-27,46.23,46.57,45.74,45.98,45.8644500289967,2081742,0.0,1.0
2024-06-26,46.83,47.56,46.15,46.2,46.0838971583221,1673549,0.0,1.0
2024-06-25,48.71,48.89,46.94,46.99,46.8719118499903,1510233,0.0,1.0
2024-06-24,48.57,49.35,48.22,48.85,48.727237579741,1122363,0.0,1.0
2024-06-21,48.47,48.62,47.44,48.59,48.4678909723565,3217825,0.0,1.0
2024-06-20,47.59,48.67,47.41,48.27,48.1486951478832,1349080,0.0,1.0
2024-06-18,48.27,48.72,47.5,47.67,47.5502029769959,1214932,0.0,1.0
2024-06-17,47.75,48.43,47.75,48.21,48.0888459307945,2339427,0.0,1.0
2024-06-14,48.91,48.955,47.795,48.33,48.208544364972,1526205,0.0,1.0
2024-06-13,49.88,50.15,49.5,49.72,49.5950512275275,1179790,0.0,1.0
2024-06-12,50.24,51.16,49.985,50.07,49.9441716605451,1681937,0.0,1.0
2024-06-11,48.45,49.0,47.74,48.42,48.2983181906051,1354935,0.0,1.0
2024-06-10,48.79,49.15,48.5,48.85,48.727237579741,1190375,0.0,1.0
2024-06-07,48.62,49.69,48.55,49.04,48.9167601005219,1011065,0.0,1.0
2024-06-06,50.64,50.7,49.24,49.41,49.2858302725691,1093481,0.0,1.0
2024-06-05,50.42,50.63,49.98,50.61,50.4828146143437,917786,0.0,1.0
2024-06-04,50.34,51.01,50.065,50.22,50.093794703267,1881297,0.0,1.0
2024-06-03,51.62,51.72,50.78,51.21,51.081306785231,1112506,0.0,1.0
2024-05-31,51.01,51.4,50.43,51.36,51.2309298279528,1498488,0.0,1.0
2024-05-30,50.07,50.8,49.93,50.51,50.3830659191958,1092972,0.0,1.0
2024-05-29,49.0,50.02,48.985,49.78,49.6549004446163,1399756,0.0,1.0
2024-05-28,50.14,50.49,49.18,49.61,49.4853276628649,1135498,0.0,1.0
2024-05-24,49.9,50.49,49.72,49.85,49.7247245312198,913650,0.0,1.0
2024-05-23,51.23,51.23,49.37,49.54,49.4155035762614,1427054,0.0,1.0
2024-05-22,52.14,52.42,50.93,50.98,50.8518847863909,1576480,0.0,1.0
2024-05-21,52.82,52.82,52.27,52.55,52.4179393002126,708472,0.0,1.0
2024-05-20,52.99,53.1,52.54,52.88,52.7471099942007,674386,0.0,1.0
2024-05-17,52.6,53.23,52.23,53.04,52.9067079064373,1404651,0.0,1.0
2024-05-16,53.69,53.69,52.5,52.51,52.3780398221535,1413156,0.0,1.0
2024-05-15,54.35,54.455,53.565,53.99,53.8543205103422,1989499,0.13,1.0
2024-05-14,53.5,53.7,52.87,53.33,53.0681986847108,1267870,0.0,1.0
2024-05-13,54.73,54.73,53.0,53.01,52.7497695907842,1610931,0.0,1.0
2024-05-10,54.39,54.59,54.05,54.43,54.1627986950836,1774175,0.0,1.0
2024-05-09,52.2,54.09,51.88,53.99,53.7249586909345,1623657,0.0,1.0
2024-05-08,50.97,52.22,50.66,52.08,51.8243350365599,1658551,0.0,1.0
2024-05-07,52.46,55.15,52.0,52.07,51.8143841273747,2992746,0.0,1.0
2024-05-06,50.27,50.8,49.82,50.13,49.8839077454444,2370648,0.0,1.0
2024-05-03,51.5,51.97,50.29,50.38,50.1326804750746,1444078,0.0,1.0
2024-05-02,50.62,50.67,49.1,50.42,50.1724841118155,1504113,0.0,1.0
2024-05-01,49.76,51.23,49.21,50.01,49.7644968352219,1585231,0.0,1.0
2024-04-30,50.55,51.25,49.97,50.06,49.814251381148,2295651,0.0,1.0
2024-04-29,50.16,51.07,49.91,50.98,50.7297350261871,1056664,0.0,1.0
2024-04-26,50.17,50.575,49.78,49.92,49.6749386525551,804007,0.0,1.0
2024-04-25,49.4,49.9,48.78,49.89,49.6450859249995,1293310,0.0,1.0
2024-04-24,50.36,51.02,49.95,50.52,50.2719932036675,1408326,0.0,1.0
2024-04-23,49.36,50.82,48.88,50.31,50.0630241107782,1439082,0.0,1.0
2024-04-22,49.17,49.285,48.5,49.13,48.8888168269237,1639741,0.0,1.0
2024-04-19,49.32,49.86,48.38,48.76,48.520633187071,1478355,0.0,1.0
2024-04-18,49.82,50.18,49.235,49.54,49.2968041035172,1356189,0.0,1.0
2024-04-17,50.3,50.45,49.28,49.29,49.048031373887,1186895,0.0,1.0
2024-04-16,49.83,50.12,49.03,49.94,49.6948404709255,1670812,0.0,1.0
2024-04-15,50.96,51.3,49.66,50.02,49.7744477444072,1775153,0.0,1.0
2024-04-12,51.06,51.29,49.87,50.19,49.9436132005557,2197117,0.0,1.0
2024-04-11,52.3,52.5,51.29,51.37,51.1178204844101,1280284,0.0,1.0
2024-04-10,51.88,53.02,51.46,52.02,51.7646295814486,2512441,0.0,1.0
2024-04-09,53.97,54.17,53.23,53.59,53.3269223235262,1420172,0.0,1.0
2024-04-08,53.81,54.21,53.395,53.62,53.3567750510818,1975399,0.0,1.0
2024-04-05,53.51,54.01,53.11,53.7,53.4363823245635,1683161,0.0,1.0
2024-04-04,54.12,54.31,52.74,52.85,52.5905550438208,1087974,0.0,1.0
2024-04-03,53.63,54.025,53.16,53.46,53.1975605041185,1695213,0.0,1.0
2024-04-02,54.35,54.37,53.18,53.94,53.6752041450084,1809457,0.0,1.0
2024-04-01,56.85,56.98,55.48,55.51,55.237496887086,1950164,0.0,1.0
2024-03-28,56.66,57.13,56.26,56.82,56.5410659903482,1465226,0.0,1.0
2024-03-27,56.39,56.52,55.63,56.23,55.9539623484209,1312863,0.0,1.0
2024-03-26,55.96,56.465,55.69,56.07,55.7947478014576,1260533,0.0,1.0
2024-03-25,56.2,56.5,55.42,55.59,55.3171041605677,1830750,0.0,1.0
2024-03-22,56.13,56.13,54.775,54.89,54.6205405176031,1758665,0.0,1.0
2024-03-21,54.51,56.11,53.87,56.09,55.814649619828,1280527,0.0,1.0
2024-03-20,52.95,54.395,52.95,54.07,53.8045659644161,1530580,0.0,1.0
2024-03-19,52.39,53.605,52.04,53.26,52.9985423204143,1207427,0.0,1.0
2024-03-18,53.01,53.37,52.5,52.59,52.3318314050054,958569,0.0,1.0
2024-03-15,54.24,54.83,52.95,53.01,52.7497695907842,2462725,0.0,1.0
2024-03-14,55.06,55.64,53.76,54.47,54.2026023318244,1680318,0.0,1.0
2024-03-13,55.62,56.44,55.44,55.76,55.4862696167162,2620483,0.0,1.0
2024-03-12,53.95,54.64,53.55,54.6,54.3319641512321,973570,0.0,1.0
2024-03-11,54.67,54.87,53.63,53.95,53.6851550541937,1224670,0.0,1.0
2024-03-08,55.62,55.83,54.71,54.81,54.5409332441215,1068448,0.0,1.0
2024-03-07,55.1,55.935,54.97,55.34,55.0683314309375,1398648,0.0,1.0
2024-03-06,54.39,54.96,54.02,54.87,54.6006386992327,827256,0.0,1.0
2024-03-05,54.15,54.54,53.6904,53.86,53.5955968715268,1198352,0.0,1.0
2024-03-04,55.0,55.13,53.955,54.4,54.132945967528,1259244,0.0,1.0
2024-03-01,54.61,55.27,54.41,54.75,54.4812277890102,1750546,0.0,1.0
2024-02-29,53.97,54.65,53.815,54.47,54.2026023318244,1901241,0.0,1.0
2024-02-28,53.32,53.64,53.0852,53.4,53.1378550490072,1594415,0.0,1.0
2024-02-27,52.66,54.02,52.05,53.87,53.605547780712,2159349,0.0,1.0
2024-02-26,51.92,52.135,51.65,51.99,51.734776853893,1808233,0.0,1.0
2024-02-23,51.0,52.26,50.89,51.92,51.6651204895966,2181308,0.0,1.0
2024-02-22,50.07,51.28,50.04,50.72,50.4710113873717,1796299,0.0,1.0
2024-02-21,50.34,50.6,49.82,49.99,49.7445950168515,1655496,0.13,1.0
2024-02-20,50.0,50.58,49.6889,50.48,50.1018985724395,1581326,0.0,1.0
2024-02-16,49.98,51.2,49.77,50.7,50.3202507452987,1620673,0.0,1.0
2024-02-15,51.15,51.33,49.87,50.59,50.2110746588691,3311603,0.0,1.0
2024-02-14,50.65,50.9076,50.26,50.74,50.3599511403641,1321893,0.0,1.0
2024-02-13,50.08,50.7,49.1,50.13,49.7545201156179,1745485,0.0,1.0
2024-02-12,50.79,52.01,50.18,52.0,51.6105135849218,2268419,0.0,1.0
2024-02-09,51.65,51.985,49.96,50.6,50.2209997576354,3240450,0.0,1.0
2024-02-08,51.54,53.605,50.37,51.88,51.4914123997258,3483393,0.0,1.0
2024-02-07,50.86,51.6,50.55,51.25,50.866131177447,3857041,0.0,1.0
2024-02-06,50.46,51.04,50.45,50.7,50.3202507452987,1458378,0.0,1.0
2024-02-05,49.95,50.75,49.53,50.57,50.1912244613364,1554235,0.0,1.0
2024-02-02,49.64,50.76,48.91,50.29,49.9133216958792,1758084,0.0,1.0
2024-02-01,50.17,51.9,49.715,50.47,50.0919734736731,1730173,0.0,1.0
2024-01-31,51.41,51.46,49.66,49.89,49.5163177452259,2382213,0.0,1.0
2024-01-30,52.0,52.41,51.73,51.81,51.4219367083615,1760753,0.0,1.0
2024-01-29,51.5,52.35,51.18,52.28,51.8884163503791,2219499,0.0,1.0
2024-01-26,51.26,51.8,50.93,51.78,51.3921614120625,1563830,0.0,1.0
2024-01-25,51.12,51.29,50.62,50.99,50.6080786095223,1452576,0.0,1.0
2024-01-24,51.83,51.83,50.39,50.63,50.2507750539344,1110021,0.0,1.0
2024-01-23,51.69,51.74,50.635,51.12,50.7371048934846,1175340,0.0,1.0
2024-01-22,51.31,51.81,50.97,51.51,51.1241837453716,1322623,0.0,1.0
2024-01-19,50.39,51.01,50.0,51.0,50.6180037082887,1129820,0.0,1.0
2024-01-18,50.41,51.21,49.81,50.61,50.2309248564018,2074354,0.0,1.0
2024-01-17,48.71,49.15,48.46,49.06,48.6925345476204,1028176,0.0,1.0
2024-01-16,48.84,49.71,48.75,49.42,49.0498381032084,2235642,0.0,1.0
2024-01-12,51.37,51.52,49.67,49.99,49.6155687328892,910435,0.0,1.0
2024-01-11,50.74,50.93,49.66,50.81,50.4294268317284,1814713,0.0,1.0
2024-01-10,50.16,51.14,49.89,51.13,50.747029992251,1330377,0.0,1.0
2024-01-09,49.12,50.185,49.021,50.03,49.6552691279546,917615,0.0,1.0
2024-01-08,48.94,50.11,48.94,49.93,49.5560181402912,1253275,0.0,1.0
2024-01-05,47.96,49.05,47.6,48.66,48.2955305969672,1369015,0.0,1.0
2024-01-04,47.89,48.53,47.8,47.92,47.5610732882587,1083873,0.0,1.0
2024-01-03,49.45,49.92,47.91,48.31,47.9481521401456,1594292,0.0,1.0
2024-01-02,50.36,50.87,49.46,49.64,49.2681902760676,1914350,0.0,1.0
2023-12-29,51.02,51.65,50.96,50.97,50.5882284119897,1325825,0.0,1.0
2023-12-28,51.03,51.45,50.91,51.35,50.9653821651103,914008,0.0,1.0
2023-12-27,51.17,51.53,50.89,51.17,50.7867303873163,1032524,0.0,1.0
2023-12-26,50.52,51.26,50.42,50.98,50.598153510756,1189821,0.0,1.0
2023-12-22,50.48,50.765,50.17,50.47,50.0919734736731,741502,0.0,1.0
2023-12-21,49.87,50.48,49.585,50.45,50.0721232761405,1230321,0.0,1.0
2023-12-20,50.17,50.62,48.79,48.88,48.5138827698265,2127057,0.0,1.0
2023-12-19,50.37,50.76,50.005,50.29,49.9133216958792,1783477,0.0,1.0
2023-12-18,50.52,50.74,49.7587,50.18,49.8041456094495,1655653,0.0,1.0
2023-12-15,50.53,51.68,50.19,50.26,49.8835463995802,3017222,0.0,1.0
2023-12-14,49.94,51.56,49.91,50.57,50.1912244613364,4065345,0.0,1.0
2023-12-13,47.0,49.14,46.49,49.01,48.6429090537888,1873733,0.0,1.0
2023-12-12,46.78,47.3,46.61,46.9,46.5487132140929,1722799,0.0,1.0
2023-12-11,46.22,47.355,46.22,46.82,46.4693124239623,2669447,0.0,1.0
2023-12-08,45.6,46.45,45.6,46.22,45.8738064979824,1310351,0.0,1.0
2023-12-07,45.54,45.85,45.155,45.73,45.3874766584322,1376499,0.0,1.0
2023-12-06,43.94,45.735,43.94,45.46,45.1194989917412,2789150,0.0,1.0
2023-12-05,43.46,43.95,43.32,43.45,43.1245541397087,1326714,0.0,1.0
2023-12-04,42.62,44.035,42.56,43.93,43.6009588804926,2595134,0.0,1.0
2023-12-01,40.23,42.77,40.16,42.69,42.3702466334675,2390324,0.0,1.0
2023-11-30,40.68,40.88,40.0,40.32,40.017998225847,1513785,0.0,1.0
2023-11-29,39.76,41.18,39.76,40.63,40.3256762876033,1845639,0.0,1.0
2023-11-28,39.3,39.61,38.845,39.28,38.9857879541486,1356886,0.0,1.0
2023-11-27,39.33,39.43,38.91,39.29,38.9957130529149,1588956,0.0,1.0
2023-11-24,39.3,39.86,39.3,39.6,39.3033911146712,419729,0.0,1.0
2023-11-22,39.86,40.11,39.24,39.62,39.3232413122039,1277357,0.0,1.0
2023-11-21,40.0,40.105,39.62,39.64,39.3430915097365,829467,0.0,1.0
2023-11-20,39.63,40.55,39.245,40.18,39.8790468431184,1626762,0.0,1.0
2023-11-17,39.66,40.03,39.27,39.57,39.2736158183722,1688642,0.0,1.0
2023-11-16,40.27,40.64,39.055,39.22,38.9262373615506,2136007,0.0,1.0
2023-11-15,40.33,41.33,40.16,40.48,40.1767998061083,2181017,0.11,1.0
2023-11-14,40.36,41.22,39.62,40.36,39.9491411720752,3871518,0.0,1.0
2023-11-13,37.38,37.5,36.98,37.38,36.9994771311242,1888577,0.0,1.0
2023-11-10,36.6,37.46,36.12,37.46,37.0786627429618,1895922,0.0,1.0
2023-11-09,37.72,37.72,36.465,36.5,36.1284354009104,2646928,0.0,1.0
2023-11-08,37.7,37.8,37.25,37.5,37.1182555488806,1920022,0.0,1.0
2023-11-07,37.41,38.1,37.2,37.95,37.5636746154671,1709951,0.0,1.0
2023-11-06,39.04,39.21,37.22,37.51,37.1281537503603,2866555,0.0,1.0
2023-11-03,37.65,39.67,37.36,39.05,38.6524767782343,4633200,0.0,1.0
2023-11-02,37.57,38.575,36.2175,36.8,36.4253814453015,7762716,0.0,1.0
2023-11-01,40.01,40.44,39.3,40.4,39.988733977994,3035696,0.0,1.0
2023-10-31,39.33,40.28,39.16,39.93,39.523518508448,2970450,0.0,1.0
2023-10-30,38.32,39.49,38.11,39.16,38.761356994511,1839979,0.0,1.0
2023-10-27,38.21,38.65,37.57,38.0,37.6131656228657,1707275,0.0,1.0
2023-10-26,38.86,38.9,37.825,38.03,37.6428602273048,2760070,0.0,1.0
2023-10-25,39.5,39.77,38.86,38.9,38.5040037560388,1479481,0.0,1.0
2023-10-24,40.05,40.535,39.42,39.85,39.4443328966104,1224464,0.0,1.0
2023-10-23,39.8,40.27,39.41,39.82,39.4146382921713,1483558,0.0,1.0
2023-10-20,40.09,40.23,39.495,39.88,39.4740275010495,1029580,0.0,1.0
2023-10-19,40.78,41.28,39.835,40.13,39.7214825380421,1227962,0.0,1.0
2023-10-18,41.34,41.59,40.615,40.86,40.4440512460603,1465935,0.0,1.0
2023-10-17,40.9,42.51,40.7,42.02,41.5922426177057,1223751,0.0,1.0
2023-10-16,40.63,41.52,40.37,41.3,40.8795721111671,1141119,0.0,1.0
2023-10-13,40.04,40.26,39.64,39.89,39.4839257025292,927275,0.0,1.0
2023-10-12,41.36,41.74,39.63,40.0,39.592805918806,1329175,0.0,1.0
2023-10-11,42.07,42.25,41.24,41.52,41.0973325437206,966721,0.0,1.0
2023-10-10,41.46,42.72,41.405,41.76,41.3348893792334,1232871,0.0,1.0
2023-10-09,40.64,41.2,40.22,41.17,40.750895491931,1197075,0.0,1.0
2023-10-06,40.01,41.16,39.81,40.96,40.5430332608573,1878997,0.0,1.0
2023-10-05,41.27,41.36,40.44,40.92,40.5034404549385,1360096,0.0,1.0
2023-10-04,40.49,41.65,40.47,41.45,41.0280451333627,1897880,0.0,1.0
2023-10-03,41.77,41.9,39.96,40.42,40.0085303809534,2193347,0.0,1.0
2023-10-02,43.11,43.86,41.81,41.97,41.5427516103071,1611044,0.0,1.0
2023-09-29,43.34,43.74,43.06,43.34,42.8988052130263,1396406,0.0,1.0
2023-09-28,42.05,43.03,42.05,42.84,42.4038951390412,1616339,0.0,1.0
2023-09-27,41.97,42.295,41.5655,41.98,41.5526498117868,920383,0.0,1.0
2023-09-26,42.22,42.47,41.44,41.75,41.3249911777537,1093631,0.0,1.0
2023-09-25,42.31,42.81,42.11,42.5,42.0673562887313,1139019,0.0,1.0
2023-09-22,42.99,43.24,42.18,42.53,42.0970508931704,1694664,0.0,1.0
2023-09-21,43.51,43.51,42.59,42.59,42.1564401020486,1745448,0.0,1.0
2023-09-20,44.86,44.9899,43.8,43.87,43.4234098914504,900226,0.0,1.0
2023-09-19,44.61,44.86,44.01,44.79,44.334044427583,1568166,0.0,1.0
2023-09-18,44.67,44.97,44.34,44.62,44.165775002428,876101,0.0,1.0
2023-09-15,45.49,45.52,44.6,44.74,44.2845534201845,3320975,0.0,1.0
2023-09-14,45.64,46.5,45.3,45.97,45.5020322021877,1749394,0.0,1.0
2023-09-13,45.32,45.958,44.78,44.8,44.3439426290627,2414271,0.0,1.0
2023-09-12,45.24,45.715,44.95,45.41,44.9477329193245,1706930,0.0,1.0
2023-09-11,45.26,45.93,44.8,45.77,45.3040681725937,1486645,0.0,1.0
2023-09-08,44.9,45.065,44.35,44.49,44.0370983831919,963949,0.0,1.0
2023-09-07,44.74,45.25,44.39,45.16,44.7002778823319,724094,0.0,1.0
2023-09-06,45.23,46.01,44.96,45.11,44.6507868749334,850139,0.0,1.0
2023-09-05,46.47,46.85,44.8,45.13,44.6705832778928,1531843,0.0,1.0
2023-09-01,47.45,47.7,47.0,47.09,46.6106307679143,1068410,0.0,1.0
2023-08-31,46.38,46.95,46.15,46.72,46.2443973131654,1134417,0.0,1.0
2023-08-30,45.9,46.52,45.55,46.16,45.6900980303021,1073299,0.0,1.0
2023-08-29,44.75,46.37,44.5,46.04,45.5713196125457,1460819,0.0,1.0
2023-08-28,43.49,44.91,43.49,44.87,44.4132300394206,1473603,0.0,1.0
2023-08-25,43.54,43.98,43.06,43.28,42.839416004148,1358378,0.0,1.0
2023-08-24,43.78,44.18,43.33,43.4,42.9581944219045,1772647,0.0,1.0
2023-08-23,42.56,43.96,42.31,43.9,43.4531044958895,1727805,0.0,1.0
2023-08-22,42.58,42.83,42.0101,42.77,42.3346077286833,2014103,0.0,1.0
2023-08-21,42.95,43.06,42.27,42.53,42.0970508931704,1345849,0.0,1.0
2023-08-18,42.6,43.25,42.46,42.86,42.4236915420006,1378366,0.0,1.0
2023-08-17,44.4,44.41,43.04,43.08,42.641451974554,993425,0.0,1.0
2023-08-16,44.87,45.3,44.08,44.21,43.7599487417603,2343412,0.11,1.0
2023-08-15,45.09,45.215,44.75,45.07,44.5004713400527,1433073,0.0,1.0
2023-08-14,44.85,45.31,44.66,45.25,44.6781967636429,1277550,0.0,1.0
2023-08-11,45.46,45.81,45.015,45.24,44.668323128999,977593,0.0,1.0
2023-08-10,46.2,46.5,44.91,45.62,45.0435212454671,1648558,0.0,1.0
2023-08-09,45.82,46.2,45.61,45.96,45.3792248233597,1342182,0.0,1.0
2023-08-08,45.0,45.69,44.63,45.65,45.0731421493988,1909717,0.0,1.0
2023-08-07,45.91,46.23,45.105,45.35,44.7769331100819,2079932,0.0,1.0
2023-08-04,45.27,46.62,44.535,45.85,45.2706148422768,2511302,0.0,1.0
2023-08-03,43.92,46.665,43.73,45.94,45.3594775540719,4182839,0.0,1.0
2023-08-02,43.19,44.17,42.89,43.5,42.9503107009606,3526269,0.0,1.0
2023-08-01,43.65,44.535,43.65,44.05,43.493360606375,4262493,0.0,1.0
2023-07-31,45.6,45.6775,43.15,44.63,44.0660314157211,3238422,0.0,1.0
2023-07-28,45.5,46.2,45.04,45.99,45.4088457272914,1787911,0.0,1.0
2023-07-27,46.82,47.17,45.865,46.06,45.4779611697987,2237980,0.0,1.0
2023-07-26,46.29,46.79,45.845,46.29,45.7050547666084,1244152,0.0,1.0
2023-07-25,46.22,46.57,46.04,46.25,45.6655602280328,1651671,0.0,1.0
2023-07-24,45.86,46.35,45.81,45.95,45.3693511887158,1249396,0.0,1.0
2023-07-21,46.21,46.295,45.6,45.92,45.3397302847841,916492,0.0,1.0
2023-07-20,46.16,46.17,45.73,45.85,45.2706148422768,987104,0.0,1.0
2023-07-19,45.32,46.32,45.32,46.17,45.5865711508816,1727543,0.0,1.0
2023-07-18,44.95,45.715,44.786,45.31,44.7374385715063,1028292,0.0,1.0
2023-07-17,43.78,45.13,43.705,45.02,44.4511031668332,1531057,0.0,1.0
2023-07-14,44.0,44.13,43.39,43.97,43.4143715292238,1334089,0.0,1.0
2023-07-13,44.42,44.84,43.92,43.99,43.4341187985116,1515139,0.0,1.0
2023-07-12,44.0,44.36,43.5166,44.29,43.7303278378286,2567104,0.0,1.0
2023-07-11,43.0,43.43,42.46,43.35,42.8022061813021,1847461,0.0,1.0
2023-07-10,40.51,42.75,40.46,42.74,42.1999144680242,2399843,0.0,1.0
2023-07-07,39.45,40.665,39.27,40.43,39.9191048652836,2451372,0.0,1.0
2023-07-06,39.22,39.86,38.75,39.27,38.7737632465913,1751390,0.0,1.0
2023-07-05,39.62,40.16,39.25,40.03,39.5241594795276,2123959,0.0,1.0
2023-07-03,40.15,40.24,39.45,39.76,39.2575713441423,972596,0.0,1.0
2023-06-30,40.33,40.5,39.705,40.07,39.5636540181032,1674871,0.0,1.0
2023-06-29,39.07,40.01,38.87,39.99,39.484664940952,925865,0.0,1.0
2023-06-28,39.51,39.87,39.06,39.17,38.6750269001523,1636292,0.0,1.0
2023-06-27,38.62,39.99,38.37,39.66,39.1588349977033,2101198,0.0,1.0
2023-06-26,37.88,38.62,37.68,38.5,38.0134933790111,2030671,0.0,1.0
2023-06-23,37.49,37.93,37.19,37.66,37.1841080689235,1930127,0.0,1.0
2023-06-22,38.09,38.26,37.32,38.0,37.5198116468161,1186356,0.0,1.0
2023-06-21,37.46,38.6,37.29,38.24,37.7567788782697,1846144,0.0,1.0
2023-06-20,38.2,38.46,37.75,38.09,37.6086743586112,1516111,0.0,1.0
