,EXPE_Open,EXPE_High,EXPE_Low,EXPE_Close,EXPE_Adj Close,EXPE_Volume,EXPE_Dividend Amount,EXPE_Split Coefficient
2024-04-01,137.55,137.73,132.91,133.22,133.22,3594218,0.0,1.0
2024-03-28,139.46,139.9,137.59,137.75,137.75,2081475,0.0,1.0
2024-03-27,137.88,139.13,136.63,138.99,138.99,2221072,0.0,1.0
2024-03-26,138.4,138.88,136.57,136.62,136.62,2524470,0.0,1.0
2024-03-25,137.18,138.26,136.78,137.31,137.31,1172866,0.0,1.0
2024-03-22,135.68,137.46,135.15,136.84,136.84,1246283,0.0,1.0
2024-03-21,138.95,139.0,136.33,136.39,136.39,1681339,0.0,1.0
2024-03-20,135.27,138.62,135.07,138.1,138.1,1906510,0.0,1.0
2024-03-19,133.18,135.62,132.7,135.56,135.56,1598420,0.0,1.0
2024-03-18,133.79,134.79,132.5,133.21,133.21,1688458,0.0,1.0
2024-03-15,134.91,135.3,132.51,133.47,133.47,3974634,0.0,1.0
2024-03-14,135.7,136.07,134.63,135.74,135.74,1858952,0.0,1.0
2024-03-13,134.8,137.2221,133.825,135.32,135.32,2066509,0.0,1.0
2024-03-12,138.0,138.13,136.53,136.62,136.62,1607783,0.0,1.0
2024-03-11,135.17,137.29,135.17,136.93,136.93,1420107,0.0,1.0
2024-03-08,133.61,136.07,133.02,135.78,135.78,1859219,0.0,1.0
2024-03-07,132.75,133.629,131.41,133.43,133.43,1968559,0.0,1.0
2024-03-06,135.09,135.44,132.2401,132.5,132.5,2361281,0.0,1.0
2024-03-05,134.58,135.74,133.11,134.03,134.03,3030946,0.0,1.0
2024-03-04,136.62,137.205,135.17,135.52,135.52,2229704,0.0,1.0
2024-03-01,136.3,137.8,136.22,136.84,136.84,1843238,0.0,1.0
2024-02-29,136.87,137.9,135.84,136.82,136.82,2412163,0.0,1.0
2024-02-28,135.51,137.32,135.33,135.53,135.53,1902044,0.0,1.0
2024-02-27,136.25,137.285,135.42,136.24,136.24,2070071,0.0,1.0
2024-02-26,136.3,137.12,134.49,134.95,134.95,2682442,0.0,1.0
2024-02-23,137.0,138.73,135.01,136.3,136.3,3320092,0.0,1.0
2024-02-22,136.0,139.29,135.6,139.1,139.1,2699836,0.0,1.0
2024-02-21,134.82,136.19,133.84,134.64,134.64,2020390,0.0,1.0
2024-02-20,133.68,136.79,133.435,135.99,135.99,2443211,0.0,1.0
2024-02-16,137.94,137.955,134.82,135.25,135.25,2670363,0.0,1.0
2024-02-15,136.0,139.72,135.89,138.53,138.53,3710946,0.0,1.0
2024-02-14,135.44,136.46,133.88,134.82,134.82,3396305,0.0,1.0
2024-02-13,131.39,136.3822,130.697,134.84,134.84,4907433,0.0,1.0
2024-02-12,132.035,137.3,132.035,133.6,133.6,6862153,0.0,1.0
2024-02-09,130.61,132.8,126.05,131.11,131.11,18487358,0.0,1.0
2024-02-08,156.5,160.0499,154.8201,159.47,159.47,7400430,0.0,1.0
2024-02-07,155.055,156.77,151.09,154.38,154.38,2300934,0.0,1.0
2024-02-06,152.92,154.38,150.63,153.7,153.7,1865684,0.0,1.0
2024-02-05,149.95,152.33,147.54,151.71,151.71,1899403,0.0,1.0
2024-02-02,150.71,153.39,146.55,151.05,151.05,1969314,0.0,1.0
2024-02-01,148.99,151.77,146.77,151.52,151.52,1961069,0.0,1.0
2024-01-31,151.15,151.86,147.96,148.33,148.33,1459918,0.0,1.0
2024-01-30,153.53,153.8,150.02,151.72,151.72,2014390,0.0,1.0
2024-01-29,151.93,154.185,150.44,153.98,153.98,1811626,0.0,1.0
2024-01-26,152.6,153.54,151.71,151.93,151.93,1700997,0.0,1.0
2024-01-25,150.79,153.57,149.76,152.3,152.3,2112805,0.0,1.0
2024-01-24,150.0,150.97,147.85,148.57,148.57,1283350,0.0,1.0
2024-01-23,146.62,148.93,145.4,148.5,148.5,1911235,0.0,1.0
2024-01-22,149.47,149.9,145.28,145.66,145.66,2510524,0.0,1.0
2024-01-19,149.94,149.98,145.31,148.57,148.57,2514125,0.0,1.0
2024-01-18,148.83,149.79,146.19,148.96,148.96,2179911,0.0,1.0
2024-01-17,146.6,147.815,145.981,147.3,147.3,1657530,0.0,1.0
2024-01-16,147.33,149.34,146.71,148.65,148.65,1342064,0.0,1.0
2024-01-12,151.22,151.78,148.02,148.61,148.61,1376284,0.0,1.0
2024-01-11,151.55,153.09,150.27,151.2,151.2,1621897,0.0,1.0
2024-01-10,152.03,154.78,151.35,151.85,151.85,1566700,0.0,1.0
2024-01-09,148.61,153.1574,148.575,152.73,152.73,2094908,0.0,1.0
2024-01-08,147.11,150.47,146.025,149.68,149.68,2333850,0.0,1.0
2024-01-05,144.28,147.55,144.28,146.32,146.32,1579074,0.0,1.0
2024-01-04,145.99,147.34,144.56,144.82,144.82,2709594,0.0,1.0
2024-01-03,146.61,148.47,144.9,144.99,144.99,4108311,0.0,1.0
2024-01-02,151.67,152.3775,147.24,148.76,148.76,2898013,0.0,1.0
2023-12-29,154.06,155.155,151.35,151.79,151.79,1307377,0.0,1.0
2023-12-28,153.01,153.95,152.33,153.28,153.28,1146889,0.0,1.0
2023-12-27,153.34,154.04,151.7,153.25,153.25,1420118,0.0,1.0
2023-12-26,155.25,155.835,152.85,153.14,153.14,1530553,0.0,1.0
2023-12-22,154.88,155.605,153.68,155.31,155.31,1940267,0.0,1.0
2023-12-21,150.5,154.58,150.1,154.52,154.52,2590730,0.0,1.0
2023-12-20,151.28,154.77,148.27,148.46,148.46,2938684,0.0,1.0
2023-12-19,148.48,151.8,148.48,151.52,151.52,2588141,0.0,1.0
2023-12-18,146.62,148.68,145.875,148.47,148.47,1856974,0.0,1.0
2023-12-15,145.88,147.075,143.87,145.99,145.99,4764161,0.0,1.0
2023-12-14,145.78,148.3199,145.09,146.83,146.83,2207341,0.0,1.0
2023-12-13,144.88,146.3,142.24,144.9,144.9,2202657,0.0,1.0
2023-12-12,146.35,147.52,143.39,144.88,144.88,1805334,0.0,1.0
2023-12-11,146.0,149.94,145.88,148.34,148.34,2041032,0.0,1.0
2023-12-08,142.7,145.83,142.51,145.5,145.5,1748691,0.0,1.0
2023-12-07,139.4,143.9,139.09,143.65,143.65,2059451,0.0,1.0
2023-12-06,139.9,140.5,138.2128,139.0,139.0,1727794,0.0,1.0
2023-12-05,138.46,139.46,137.1,138.4,138.4,1419397,0.0,1.0
2023-12-04,138.5,141.16,138.455,139.82,139.82,1685551,0.0,1.0
2023-12-01,136.05,139.78,136.05,139.31,139.31,3259853,0.0,1.0
2023-11-30,136.37,136.79,134.33,136.18,136.18,3584848,0.0,1.0
2023-11-29,135.69,138.73,135.36,135.75,135.75,7804365,0.0,1.0
2023-11-28,136.11,137.65,134.74,135.42,135.42,1555895,0.0,1.0
2023-11-27,135.48,137.35,135.32,135.9,135.9,1361218,0.0,1.0
2023-11-24,136.03,137.16,134.82,136.42,136.42,723246,0.0,1.0
2023-11-22,136.49,138.16,136.21,136.89,136.89,1653952,0.0,1.0
2023-11-21,134.04,136.13,133.68,135.47,135.47,1817854,0.0,1.0
2023-11-20,135.84,136.77,133.11,134.9,134.9,2473933,0.0,1.0
2023-11-17,134.3,137.4999,132.07,136.38,136.38,4812575,0.0,1.0
2023-11-16,128.08,131.58,127.05,129.82,129.82,2704549,0.0,1.0
2023-11-15,124.76,134.37,124.52,130.33,130.33,5690953,0.0,1.0
2023-11-14,121.515,123.94,120.92,122.63,122.63,2382323,0.0,1.0
2023-11-13,117.99,119.8199,117.73,118.48,118.48,1731525,0.0,1.0
2023-11-10,113.71,119.08,113.71,118.68,118.68,2768457,0.0,1.0
2023-11-09,116.52,118.03,113.43,113.67,113.67,2207105,0.0,1.0
2023-11-08,118.03,118.78,116.42,116.56,116.56,2854428,0.0,1.0
2023-11-07,111.89,121.17,111.82,118.05,118.05,5569983,0.0,1.0
2023-11-06,113.8,115.75,110.77,111.59,111.59,3630392,0.0,1.0
2023-11-03,108.0,112.97,107.8,112.71,112.71,9058574,0.0,1.0
2023-11-02,95.06,96.3,93.195,94.84,94.84,5082293,0.0,1.0
2023-11-01,95.29,95.55,92.48,93.27,93.27,2208347,0.0,1.0
2023-10-31,95.26,95.64,94.06,95.29,95.29,1714749,0.0,1.0
2023-10-30,94.86,96.085,94.28,94.95,94.95,1922225,0.0,1.0
2023-10-27,95.32,96.13,92.97,93.08,93.08,1598901,0.0,1.0
2023-10-26,95.97,96.5,93.16,95.04,95.04,2857184,0.0,1.0
2023-10-25,95.72,96.75,95.33,95.97,95.97,1380104,0.0,1.0
2023-10-24,96.51,97.45,95.82,97.29,97.29,1229666,0.0,1.0
2023-10-23,93.53,97.235,92.51,95.23,95.23,2325434,0.0,1.0
2023-10-20,95.03,95.22,93.04,93.65,93.65,2719881,0.0,1.0
2023-10-19,99.07,99.2899,95.265,95.66,95.66,2381459,0.0,1.0
2023-10-18,99.64,100.67,98.86,98.91,98.91,1669955,0.0,1.0
2023-10-17,99.31,102.225,99.11,101.55,101.55,1385719,0.0,1.0
2023-10-16,100.06,101.575,99.29,99.67,99.67,1627233,0.0,1.0
2023-10-13,102.49,102.99,98.91,99.16,99.16,1526242,0.0,1.0
2023-10-12,103.38,103.98,101.98,102.62,102.62,1364872,0.0,1.0
2023-10-11,102.0,103.69,101.22,103.61,103.61,1707933,0.0,1.0
2023-10-10,100.59,102.725,100.185,101.49,101.49,1546693,0.0,1.0
2023-10-09,98.57,100.4,96.635,99.67,99.67,1637118,0.0,1.0
2023-10-06,98.86,101.05,98.465,100.48,100.48,1453699,0.0,1.0
2023-10-05,100.56,100.715,98.08,99.9,99.9,1311716,0.0,1.0
2023-10-04,99.21,100.61,99.03,100.18,100.18,1722340,0.0,1.0
2023-10-03,101.0,101.44,97.94,98.77,98.77,2056786,0.0,1.0
2023-10-02,102.71,103.3,101.605,102.05,102.05,1910380,0.0,1.0
2023-09-29,103.65,104.7,102.58,103.07,103.07,2227935,0.0,1.0
2023-09-28,99.76,103.045,99.69,102.58,102.58,1695181,0.0,1.0
2023-09-27,100.26,101.14,99.43,100.25,100.25,1676229,0.0,1.0
2023-09-26,99.63,100.8108,98.895,99.39,99.39,1667600,0.0,1.0
2023-09-25,100.13,101.18,99.501,100.69,100.69,1768018,0.0,1.0
2023-09-22,101.96,102.95,100.505,100.87,100.87,2335315,0.0,1.0
2023-09-21,102.73,103.145,101.62,101.96,101.96,1805086,0.0,1.0
2023-09-20,104.87,105.96,104.205,104.29,104.29,1283570,0.0,1.0
2023-09-19,105.41,105.81,103.79,104.58,104.58,2122270,0.0,1.0
2023-09-18,106.25,107.07,105.46,105.74,105.74,2266032,0.0,1.0
2023-09-15,106.7,109.13,106.0758,106.91,106.91,5677050,0.0,1.0
2023-09-14,107.72,107.9,104.91,106.93,106.93,2217099,0.0,1.0
2023-09-13,108.78,109.77,106.32,106.82,106.82,2488789,0.0,1.0
2023-09-12,107.49,110.735,107.49,109.65,109.65,1799029,0.0,1.0
2023-09-11,110.78,111.38,108.0517,108.49,108.49,1774610,0.0,1.0
2023-09-08,105.985,110.3,105.9,109.8,109.8,2622198,0.0,1.0
2023-09-07,107.0,107.0,103.53,105.76,105.76,3926909,0.0,1.0
2023-09-06,109.19,109.71,105.93,108.41,108.41,2369123,0.0,1.0
2023-09-05,109.4,111.47,108.54,110.22,110.22,2004114,0.0,1.0
2023-09-01,109.23,109.98,108.225,109.57,109.57,1593927,0.0,1.0
2023-08-31,108.97,109.6,108.1,108.39,108.39,1704223,0.0,1.0
2023-08-30,109.06,110.63,108.67,108.86,108.86,1646475,0.0,1.0
2023-08-29,107.9,110.45,107.895,109.95,109.95,1404999,0.0,1.0
2023-08-28,107.43,108.55,107.02,108.17,108.17,1163632,0.0,1.0
2023-08-25,106.25,108.11,106.18,106.94,106.94,1894809,0.0,1.0
2023-08-24,107.28,108.62,105.905,105.96,105.96,2427118,0.0,1.0
2023-08-23,108.59,109.02,107.49,107.59,107.59,1839047,0.0,1.0
2023-08-22,108.61,110.15,108.24,108.59,108.59,1430038,0.0,1.0
2023-08-21,107.41,108.85,107.23,108.07,108.07,1713864,0.0,1.0
2023-08-18,103.345,107.96,103.07,107.21,107.21,2535375,0.0,1.0
2023-08-17,108.0,108.0,105.575,105.63,105.63,3045851,0.0,1.0
2023-08-16,107.05,108.36,106.79,107.14,107.14,1989284,0.0,1.0
2023-08-15,111.98,112.33,106.66,107.43,107.43,3225658,0.0,1.0
2023-08-14,111.01,112.06,109.31,111.93,111.93,1795725,0.0,1.0
2023-08-11,110.46,112.47,110.46,111.54,111.54,2840652,0.0,1.0
2023-08-10,111.01,112.57,110.38,111.67,111.67,2268638,0.0,1.0
2023-08-09,110.31,111.97,109.53,109.81,109.81,3156319,0.0,1.0
2023-08-08,106.87,110.34,105.57,109.84,109.84,3014347,0.0,1.0
2023-08-07,104.065,108.4885,104.03,107.49,107.49,5171469,0.0,1.0
2023-08-04,101.09,104.23,101.0101,103.19,103.19,5802044,0.0,1.0
2023-08-03,106.29,109.54,97.27,98.67,98.67,14005180,0.0,1.0
2023-08-02,118.89,120.765,116.73,118.0,118.0,2325627,0.0,1.0
2023-08-01,121.5,121.5,119.18,120.74,120.74,1389757,0.0,1.0
2023-07-31,120.08,122.59,119.905,122.53,122.53,1885468,0.0,1.0
2023-07-28,120.53,121.295,119.3,120.09,120.09,1306798,0.0,1.0
2023-07-27,120.4,121.615,118.77,118.82,118.82,1491635,0.0,1.0
2023-07-26,117.43,119.66,117.205,119.56,119.56,1433111,0.0,1.0
2023-07-25,116.83,118.14,116.45,117.43,117.43,2570869,0.0,1.0
2023-07-24,118.35,118.51,115.95,116.83,116.83,1773825,0.0,1.0
2023-07-21,119.83,120.21,118.69,119.0,119.0,1158088,0.0,1.0
2023-07-20,118.27,121.415,118.05,118.87,118.87,1557253,0.0,1.0
2023-07-19,120.91,120.91,117.86,119.1,119.1,2256795,0.0,1.0
2023-07-18,120.52,122.13,120.125,121.0,121.0,2252645,0.0,1.0
2023-07-17,118.06,121.58,117.33,121.14,121.14,2138155,0.0,1.0
2023-07-14,119.5,120.0,118.12,118.57,118.57,1742225,0.0,1.0
2023-07-13,118.04,120.47,117.5,119.66,119.66,2508717,0.0,1.0
2023-07-12,118.69,119.0,115.73,116.04,116.04,1964406,0.0,1.0
2023-07-11,115.19,117.84,114.88,116.96,116.96,2644112,0.0,1.0
2023-07-10,111.47,114.87,111.25,114.33,114.33,2350859,0.0,1.0
2023-07-07,109.31,112.905,109.19,111.88,111.88,2114493,0.0,1.0
2023-07-06,109.24,109.86,107.65,109.0,109.0,2350093,0.0,1.0
2023-07-05,112.57,113.075,110.58,111.54,111.54,1873739,0.0,1.0
2023-07-03,109.43,113.5,109.37,112.79,112.79,1624950,0.0,1.0
2023-06-30,108.91,110.3,108.39,109.39,109.39,2195625,0.0,1.0
2023-06-29,108.26,108.32,106.64,107.84,107.84,2020617,0.0,1.0
2023-06-28,108.33,111.25,107.56,108.33,108.33,2330092,0.0,1.0
2023-06-27,105.19,108.535,104.33,108.09,108.09,2561066,0.0,1.0
2023-06-26,103.81,106.71,103.63,104.16,104.16,1886235,0.0,1.0
2023-06-23,105.25,105.49,103.445,104.79,104.79,4100091,0.0,1.0
2023-06-22,105.75,108.2,105.5,107.33,107.33,2659684,0.0,1.0
2023-06-21,106.28,107.28,104.7,105.01,105.01,2598795,0.0,1.0
2023-06-20,104.97,107.58,104.9,106.92,106.92,2857375,0.0,1.0
2023-06-16,107.5,107.73,105.46,105.87,105.87,3791826,0.0,1.0
2023-06-15,107.82,107.83,106.02,107.11,107.11,3318109,0.0,1.0
2023-06-14,111.5,111.6899,107.87,108.93,108.93,2061610,0.0,1.0
2023-06-13,111.28,111.815,110.05,110.96,110.96,1916468,0.0,1.0
2023-06-12,111.0,111.41,109.17,110.81,110.81,2286257,0.0,1.0
2023-06-09,108.99,111.08,108.58,110.48,110.48,3394602,0.0,1.0
2023-06-08,107.78,108.97,106.36,107.67,107.67,2884449,0.0,1.0
2023-06-07,113.1,114.37,109.02,109.09,109.09,3755479,0.0,1.0
2023-06-06,107.47,112.825,107.43,111.99,111.99,5556642,0.0,1.0
2023-06-05,102.94,107.23,102.11,106.9,106.9,4250720,0.0,1.0
2023-06-02,100.0,103.665,99.87,103.27,103.27,2435433,0.0,1.0
2023-06-01,95.63,99.64,95.0675,98.66,98.66,2256139,0.0,1.0
2023-05-31,96.11,96.49,92.86,95.71,95.71,3402693,0.0,1.0
2023-05-30,97.0,97.32,95.17,97.005,97.005,1929908,0.0,1.0
2023-05-26,95.97,98.13,95.72,96.35,96.35,1825799,0.0,1.0
2023-05-25,94.22,96.0,92.31,95.79,95.79,2846721,0.0,1.0
2023-05-24,93.3,94.005,92.0,93.32,93.32,1515984,0.0,1.0
2023-05-23,96.7,97.32,94.06,94.16,94.16,1706499,0.0,1.0
2023-05-22,96.79,97.1432,95.385,96.82,96.82,1751288,0.0,1.0
2023-05-19,98.42,98.61,95.21,96.63,96.63,2487243,0.0,1.0
2023-05-18,94.9,98.5,94.46,98.27,98.27,2492455,0.0,1.0
2023-05-17,93.31,95.935,91.92,95.225,95.225,2442764,0.0,1.0
2023-05-16,93.38,95.34,92.39,92.71,92.71,3159925,0.0,1.0
2023-05-15,89.3,92.4,89.09,92.23,92.23,2395442,0.0,1.0
2023-05-12,91.33,91.45,88.81,89.45,89.45,1886388,0.0,1.0
2023-05-11,90.91,91.9299,90.67,91.22,91.22,1572459,0.0,1.0
2023-05-10,93.2,93.95,90.7,91.03,91.03,3455483,0.0,1.0
