,BFH_Open,BFH_High,BFH_Low,BFH_Close,BFH_Adj Close,BFH_Volume,BFH_Dividend Amount,BFH_Split Coefficient
2024-07-18,51.48,52.62,50.83,50.92,50.7115961800819,759831,0.0,1.0
2024-07-17,50.84,52.18,50.61,51.58,51.368894952251,485100,0.0,1.0
2024-07-16,49.96,51.73,49.79,51.6,51.3888130968622,1152881,0.0,1.0
2024-07-15,48.79,49.35,48.0992,49.14,48.9388813096862,786600,0.0,1.0
2024-07-12,46.79,48.24,46.56,47.45,47.2557980900409,748217,0.0,1.0
2024-07-11,46.52,46.975,45.78,46.66,46.469031377899,859524,0.0,1.0
2024-07-10,45.87,46.32,44.83,46.19,46.0009549795362,813515,0.0,1.0
2024-07-09,44.96,46.46,44.65,46.04,45.8515688949523,914147,0.0,1.0
2024-07-08,45.2,45.5,44.68,44.93,44.7461118690314,539801,0.0,1.0
2024-07-05,45.12,45.36,44.66,44.91,44.7261937244202,335629,0.0,1.0
2024-07-03,45.84,46.0,45.15,45.39,45.2042291950887,273106,0.0,1.0
2024-07-02,44.97,46.22,44.72,45.41,45.2241473396999,770334,0.0,1.0
2024-07-01,44.75,45.53,44.57,45.33,45.1444747612551,663002,0.0,1.0
2024-06-28,43.54,45.46,43.5,44.56,44.3776261937244,1056636,0.0,1.0
2024-06-27,43.11,43.355,42.463,43.0,42.8240109140518,506637,0.0,1.0
2024-06-26,43.35,43.57,42.51,43.38,43.2024556616644,618000,0.0,1.0
2024-06-25,43.78,43.83,43.19,43.36,43.1825375170532,937181,0.0,1.0
2024-06-24,43.98,45.08,43.9,44.02,43.8398362892224,793263,0.0,1.0
2024-06-21,44.06,44.41,43.44,43.96,43.7800818553888,1520663,0.0,1.0
2024-06-20,41.84,44.56,41.42,44.03,43.849795361528,1777281,0.0,1.0
2024-06-18,40.93,41.57,40.44,40.84,40.6728512960437,853332,0.0,1.0
2024-06-17,39.22,40.8,39.22,40.65,40.4836289222374,765813,0.0,1.0
2024-06-14,39.67,40.105,39.1901,39.29,39.1291950886767,692376,0.0,1.0
2024-06-13,40.14,40.34,38.74,40.25,40.0852660300136,634871,0.0,1.0
2024-06-12,39.72,40.9,39.23,40.21,40.0454297407913,677766,0.0,1.0
2024-06-11,39.35,40.0,38.42,38.52,38.362346521146,773919,0.0,1.0
2024-06-10,40.5,40.8,40.1,40.21,40.0454297407913,434215,0.0,1.0
2024-06-07,40.6,41.33,40.435,41.15,40.9815825375171,450884,0.0,1.0
2024-06-06,41.25,41.7872,40.96,41.1,40.9317871759891,433312,0.0,1.0
2024-06-05,41.13,41.64,40.29,41.35,41.1807639836289,529646,0.0,1.0
2024-06-04,41.03,41.425,40.53,40.98,40.812278308322,485569,0.0,1.0
2024-06-03,41.99,42.0,40.62,41.3,41.130968622101,446852,0.0,1.0
2024-05-31,41.48,41.78,40.53,41.76,41.5890859481583,631010,0.0,1.0
2024-05-30,41.07,41.455,40.4,41.16,40.9915416098226,396182,0.0,1.0
2024-05-29,40.76,40.88,39.58,40.71,40.5433833560709,710156,0.0,1.0
2024-05-28,42.04,42.21,41.21,41.45,41.2803547066849,353442,0.0,1.0
2024-05-24,41.5,41.945,41.34,41.88,41.7085948158254,362041,0.0,1.0
2024-05-23,41.53,41.8268,40.67,41.16,40.9915416098226,1161077,0.0,1.0
2024-05-22,42.17,42.73,41.59,41.65,41.4795361527967,1292721,0.0,1.0
2024-05-21,41.34,42.68,41.155,42.53,42.355934515689,582330,0.0,1.0
2024-05-20,41.84,42.06,41.43,41.43,41.2604365620737,740314,0.0,1.0
2024-05-17,40.72,41.73,40.16,41.56,41.3899045020464,681187,0.0,1.0
2024-05-16,42.19,42.35,38.92,40.56,40.393997271487,1603082,0.0,1.0
2024-05-15,41.79,42.4,41.61,42.16,41.987448840382,994835,0.0,1.0
2024-05-14,41.9,42.0,40.91,41.5,41.3301500682128,1244363,0.0,1.0
2024-05-13,41.68,41.78,40.55,41.5,41.3301500682128,1037360,0.0,1.0
2024-05-10,40.46,40.785,39.815,40.69,40.5234652114598,720269,0.0,1.0
2024-05-09,39.91,40.3,39.35,40.26,40.0952251023192,601496,0.21,1.0
2024-05-08,39.56,40.07,39.56,39.98,39.6097627771367,1247992,0.0,1.0
2024-05-07,40.48,41.28,39.96,39.98,39.6097627771367,512513,0.0,1.0
2024-05-06,41.2,41.39,40.2,40.39,40.0159659471874,702009,0.0,1.0
2024-05-03,41.79,41.79,40.09,40.81,40.4320765116296,766005,0.0,1.0
2024-05-02,40.26,41.38,38.97,41.21,40.8283722872888,1172094,0.0,1.0
2024-05-01,36.56,39.08,36.305,38.38,38.0245796744999,1014466,0.0,1.0
2024-04-30,37.64,37.885,36.73,36.91,36.5681926989524,768597,0.0,1.0
2024-04-29,37.25,38.09,36.82,38.01,37.6580060820152,553994,0.0,1.0
2024-04-26,36.6,38.89,36.5,36.97,36.6276370653013,1000056,0.0,1.0
2024-04-25,33.58,36.92,33.58,36.65,36.3106004447739,1445519,0.0,1.0
2024-04-24,35.54,35.8348,34.76,35.53,35.2009722729282,942360,0.0,1.0
2024-04-23,34.08,35.97,34.08,35.85,35.5180088934555,787947,0.0,1.0
2024-04-22,34.61,34.85,33.89,34.22,33.9031036076443,1391644,0.0,1.0
2024-04-19,33.26,34.845,33.26,34.48,34.1606958618228,984659,0.0,1.0
2024-04-18,32.46,33.86,32.25,33.2,32.8925493797133,886047,0.0,1.0
2024-04-17,34.18,34.18,32.1,32.23,31.9315321237398,666612,0.0,1.0
2024-04-16,33.4,33.7,32.81,33.54,33.2294007890237,872810,0.0,1.0
2024-04-15,34.68,34.94,33.74,33.79,33.4770856488107,682675,0.0,1.0
2024-04-12,34.64,34.82,34.03,34.28,33.9625479739932,469709,0.0,1.0
2024-04-11,35.23,35.65,34.4,34.94,34.6164360038308,602361,0.0,1.0
2024-04-10,35.17,35.86,34.75,35.38,35.052361357056,487563,0.0,1.0
2024-04-09,36.15,36.59,35.78,36.19,35.8548603027658,407479,0.0,1.0
2024-04-08,35.65,37.21,35.65,36.47,36.1322673457273,553408,0.0,1.0
2024-04-05,35.46,35.67,34.68,35.48,35.1514353009708,698993,0.0,1.0
2024-04-04,36.76,36.96,35.41,35.61,35.28023142806,774939,0.0,1.0
2024-04-03,34.84,35.96,34.84,35.39,35.0622687514474,527454,0.0,1.0
2024-04-02,35.79,36.19,34.75,34.99,34.6659729757883,720662,0.0,1.0
2024-04-01,37.37,37.485,35.8,35.98,35.6468050205448,670826,0.0,1.0
2024-03-28,37.27,37.96,36.92,37.24,36.8951367138712,405607,0.0,1.0
2024-03-27,37.44,37.75,36.635,37.62,37.2716177007475,559399,0.0,1.0
2024-03-26,35.82,37.28,35.82,36.97,36.6276370653013,1058352,0.0,1.0
2024-03-25,35.6,36.215,35.01,35.7,35.3693979775833,458261,0.0,1.0
2024-03-22,38.23,38.28,35.55,35.59,35.260416639277,1047501,0.0,1.0
2024-03-21,40.6,40.86,37.7006,38.49,38.1335610128062,1109376,0.0,1.0
2024-03-20,39.01,40.45,38.59,40.16,39.7880958761834,971777,0.0,1.0
2024-03-19,38.45,39.49,38.37,39.13,38.7676342538609,692646,0.0,1.0
2024-03-18,37.01,38.45,36.81,38.37,38.0146722801085,793751,0.0,1.0
2024-03-15,37.0,37.97,36.76,37.19,36.8455997419138,1187626,0.0,1.0
2024-03-14,38.44,38.73,37.08,37.6,37.2518029119645,959072,0.0,1.0
2024-03-13,36.49,38.49,36.49,38.42,38.0642092520659,1487528,0.0,1.0
2024-03-12,36.56,36.9,35.87,36.68,36.3403226279484,983683,0.0,1.0
2024-03-11,38.4,38.79,36.34,36.5,36.1619895289017,1061692,0.0,1.0
2024-03-08,37.86,39.19,37.65,38.92,38.5595789716399,2080818,0.0,1.0
2024-03-07,37.72,38.11,37.18,37.44,37.0932846017008,578012,0.0,1.0
2024-03-06,38.07,38.41,37.21,37.56,37.2121733343986,536297,0.0,1.0
2024-03-05,37.03,38.805,36.9,37.81,37.4598581941856,1224924,0.0,1.0
2024-03-04,38.24,38.595,37.23,37.4,37.0536550241349,592729,0.0,1.0
2024-03-01,38.36,38.58,37.94,38.28,37.9255057305851,832006,0.0,1.0
2024-02-29,37.99,38.635,37.69,38.28,37.9255057305851,771214,0.0,1.0
2024-02-28,36.67,37.78,36.67,37.44,37.0932846017008,490018,0.0,1.0
2024-02-27,37.14,37.71,36.88,37.22,36.8753219250883,604494,0.0,1.0
2024-02-26,36.53,37.08,36.395,36.74,36.3997669942972,581647,0.0,1.0
2024-02-23,36.84,37.2,36.49,36.78,36.4393965718632,413458,0.0,1.0
2024-02-22,36.64,37.0,36.355,36.7,36.3601374167313,581055,0.0,1.0
2024-02-21,38.56,38.71,36.35,36.61,36.270970867208,914860,0.0,1.0
2024-02-20,36.765,38.3,36.42,37.73,37.3805990390537,652838,0.0,1.0
2024-02-16,37.36,37.91,36.76,37.2,36.8555071363053,513304,0.0,1.0
2024-02-15,37.35,38.06,37.11,37.57,37.2220807287901,640226,0.0,1.0
2024-02-14,37.17,37.58,36.17,37.31,36.9644884746116,490803,0.0,1.0
2024-02-13,36.18,37.12,35.78,36.61,36.270970867208,888031,0.0,1.0
2024-02-12,35.7,37.68,35.63,37.37,37.0239328409605,647087,0.0,1.0
2024-02-09,35.31,35.66,34.6,35.46,35.1316205121878,494094,0.0,1.0
2024-02-08,34.21,35.4,33.7,35.32,34.9929169907071,431207,0.21,1.0
2024-02-07,34.33,34.66,33.62,34.63,34.1065216827522,440146,0.0,1.0
2024-02-06,34.2,34.8,33.97,34.28,33.7618123963253,403887,0.0,1.0
2024-02-05,34.87,34.895,33.995,34.32,33.8012077433455,633217,0.0,1.0
2024-02-02,35.9,36.01,35.3,35.5,34.9633704804419,514711,0.0,1.0
2024-02-01,36.705,37.215,34.98,36.33,35.7808239311114,557913,0.0,1.0
2024-01-31,36.44,37.65,36.029,36.27,35.7217309105811,914906,0.0,1.0
2024-01-30,36.34,36.74,36.03,36.68,36.1255332175383,808871,0.0,1.0
2024-01-29,35.47,36.24,35.01,36.23,35.6823355635609,1264634,0.0,1.0
2024-01-26,33.14,36.065,33.11,35.47,34.9338239701768,2313624,0.0,1.0
2024-01-25,28.88,33.02,28.0,32.63,32.1367543317414,1952512,0.0,1.0
2024-01-24,31.18,31.63,30.16,30.5,30.0389521029149,1090446,0.0,1.0
2024-01-23,31.4,31.67,30.71,30.75,30.2851730217912,533648,0.0,1.0
2024-01-22,30.5,31.4,30.5,31.02,30.5510916141777,747163,0.0,1.0
2024-01-19,29.61,30.35,29.12,30.21,29.7533358370183,764051,0.0,1.0
2024-01-18,29.87,29.92,29.01,29.44,28.9949754068792,1056788,0.0,1.0
2024-01-17,30.3,30.6699,29.92,30.11,29.6548474694678,799606,0.0,1.0
2024-01-16,31.1,31.34,30.68,31.09,30.6200334714631,674087,0.0,1.0
2024-01-12,33.15,33.26,31.39,31.42,30.9450450843799,480640,0.0,1.0
2024-01-11,32.47,32.77,32.01,32.73,32.2352426992919,889995,0.0,1.0
2024-01-10,32.22,32.81,32.22,32.5,32.0087194539257,460144,0.0,1.0
2024-01-09,32.36,33.0,32.02,32.83,32.3337310668425,1496370,0.0,1.0
2024-01-08,32.55,33.59,32.307,33.57,33.0625449867165,570007,0.0,1.0
2024-01-05,31.01,32.78,31.01,32.51,32.0185682906807,450341,0.0,1.0
2024-01-04,32.12,32.12,31.37,31.52,31.0435334519304,413173,0.0,1.0
2024-01-03,32.0,32.65,31.41,31.87,31.3882427383573,710876,0.0,1.0
2024-01-02,32.41,33.73,32.35,32.99,32.4913124549233,679285,0.0,1.0
2023-12-29,33.57,33.8,32.89,32.94,32.4420682711481,501567,0.0,1.0
2023-12-28,33.43,33.71,33.2001,33.6,33.0920914969816,480645,0.0,1.0
2023-12-27,33.74,33.885,33.36,33.52,33.0133008029412,453190,0.0,1.0
2023-12-26,33.76,33.91,33.48,33.72,33.2102775380423,479958,0.0,1.0
2023-12-22,34.07,34.58,33.47,33.83,33.3186147423479,679398,0.0,1.0
2023-12-21,32.96,34.22,32.96,34.17,33.6534751920197,757392,0.0,1.0
2023-12-20,33.83,34.09,32.52,32.53,32.0382659641909,742688,0.0,1.0
2023-12-19,33.34,34.115,33.06,33.85,33.338312415858,799598,0.0,1.0
2023-12-18,33.03,33.855,32.835,32.97,32.4716147814132,823974,0.0,1.0
2023-12-15,34.08,34.17,33.0108,33.39,32.8852659251255,1466101,0.0,1.0
2023-12-14,33.98,35.17,33.64,34.0,33.4860449671838,1137081,0.0,1.0
2023-12-13,30.62,33.47,30.14,33.08,32.5799519857188,1636870,0.0,1.0
2023-12-12,31.17,32.06,30.9563,31.7,31.2208125135214,711729,0.0,1.0
2023-12-11,30.63,31.47,30.27,31.28,30.8071613698091,647666,0.0,1.0
2023-12-08,30.52,31.19,30.38,30.69,30.2260800012609,579277,0.0,1.0
2023-12-07,29.54,30.98,29.47,30.92,30.4526032466272,1145738,0.0,1.0
2023-12-06,29.73,30.57,29.17,29.31,28.8669405290635,579549,0.0,1.0
2023-12-05,29.12,29.31,28.47,29.27,28.8275451820432,619250,0.0,1.0
2023-12-04,28.83,29.92,28.762,29.31,28.8669405290635,781583,0.0,1.0
2023-12-01,27.95,29.82,27.83,29.25,28.8078475085331,652408,0.0,1.0
2023-11-30,27.78,28.22,27.445,28.1,27.6752312817019,599129,0.0,1.0
2023-11-29,27.9,28.45,27.51,27.59,27.1729406071942,546419,0.0,1.0
2023-11-28,26.72,27.7,26.58,27.67,27.2517313012346,494031,0.0,1.0
2023-11-27,27.1,27.55,26.6,26.82,26.414580177055,475260,0.0,1.0
2023-11-24,27.31,27.315,26.84,27.22,26.8085336472572,141465,0.0,1.0
2023-11-22,26.9,27.405,26.83,27.13,26.7198941164617,386400,0.0,1.0
2023-11-21,27.12,27.12,26.71,26.79,26.3850336667898,443825,0.0,1.0
2023-11-20,27.39,27.655,27.0959,27.44,27.0252080558683,451873,0.0,1.0
2023-11-17,26.7,27.49,26.65,27.47,27.0547545661335,700298,0.0,1.0
2023-11-16,28.09,28.09,26.27,26.34,25.9418360128124,860551,0.0,1.0
2023-11-15,26.95,28.25,26.95,28.2,27.7737196492524,1125806,0.0,1.0
2023-11-14,28.07,28.95,27.37,27.44,27.0252080558683,792038,0.0,1.0
2023-11-13,27.26,27.57,26.78,26.81,26.4047313402999,329772,0.0,1.0
2023-11-10,27.34,27.66,26.94,27.6,27.1827894439492,638602,0.21,1.0
2023-11-09,28.49,28.49,27.16,27.36,26.742938482073,563268,0.0,1.0
2023-11-08,28.68,28.96,28.04,28.17,27.5346702134502,538955,0.0,1.0
2023-11-07,29.06,29.46,28.53,28.68,28.0331679702432,520823,0.0,1.0
2023-11-06,29.12,29.529,28.75,29.41,28.7467039750646,627648,0.0,1.0
2023-11-03,29.73,30.53,29.15,29.23,28.5707635903141,751066,0.0,1.0
2023-11-02,27.23,28.862,27.22,28.85,28.1993338891742,816313,0.0,1.0
2023-11-01,26.84,27.26,26.08,26.71,26.1075982038074,997153,0.0,1.0
2023-10-31,27.37,27.505,26.92,27.03,26.4203811100305,526679,0.0,1.0
2023-10-30,27.25,27.55,26.64,27.14,26.5279002340446,398467,0.0,1.0
2023-10-27,27.1,27.485,26.45,26.77,26.1662449987242,705601,0.0,1.0
2023-10-26,28.4,29.5384,27.26,27.46,26.8406831402677,1241969,0.0,1.0
2023-10-25,28.15,28.355,27.69,27.82,27.1925639097687,744179,0.0,1.0
2023-10-24,29.26,29.48,28.39,28.42,27.7790318589369,343406,0.0,1.0
2023-10-23,28.45,29.23,28.32,28.63,27.9842956411458,573689,0.0,1.0
2023-10-20,29.3,29.565,28.63,28.65,28.0038445727848,477545,0.0,1.0
2023-10-19,30.01,30.425,29.265,29.42,28.7564784408841,504086,0.0,1.0
2023-10-18,30.8,31.055,30.29,30.4,29.7143760911922,364438,0.0,1.0
2023-10-17,30.26,31.59,30.095,31.4,30.6918226731393,579735,0.0,1.0
2023-10-16,30.88,31.09,30.38,30.62,29.9294143392206,441935,0.0,1.0
2023-10-13,32.25,32.33,29.97,30.47,29.7827973519285,768385,0.0,1.0
2023-10-12,32.31,32.31,31.405,31.99,31.2685161564881,405424,0.0,1.0
2023-10-11,31.22,32.405,31.22,32.29,31.5617501310723,461471,0.0,1.0
2023-10-10,31.21,32.09,30.84,31.66,30.9459587844456,603942,0.0,1.0
2023-10-09,30.17,31.48,30.17,30.93,30.2324227796242,367534,0.0,1.0
2023-10-06,29.24,31.0,29.2,30.65,29.958737736679,609081,0.0,1.0
2023-10-05,30.57,30.83,29.53,29.58,28.9128698939956,870453,0.0,1.0
2023-10-04,31.57,31.9,30.71,31.34,30.6331758782225,551512,0.0,1.0
2023-10-03,32.52,32.96,31.35,31.36,30.6527248098615,1048335,0.0,1.0
2023-10-02,32.55,33.71,32.3,33.52,32.7640094268672,1102009,0.0,1.0
2023-09-29,34.44,34.72,34.08,34.2,33.4286731025913,336190,0.0,1.0
2023-09-28,34.09,34.86,33.97,34.34,33.5655156240639,482909,0.0,1.0
2023-09-27,34.08,34.155,33.42,33.71,32.9497242774372,298042,0.0,1.0
2023-09-26,33.9,34.39,33.6115,33.83,33.0670178672708,438866,0.0,1.0
2023-09-25,34.1,34.41,33.73,34.32,33.5459666924249,358786,0.0,1.0
2023-09-22,34.34,34.59,34.0,34.24,33.4677709658691,277422,0.0,1.0
2023-09-21,34.34,34.97,34.25,34.37,33.5948390215223,374535,0.0,1.0
2023-09-20,35.48,36.13,34.67,34.72,33.9369453252038,479675,0.0,1.0
2023-09-19,34.54,35.32,34.2107,35.09,34.2986005605242,531181,0.0,1.0
2023-09-18,34.65,34.9,34.4,34.43,33.6534858164391,320893,0.0,1.0
2023-09-15,34.94,35.57,34.69,34.99,34.2008559023295,1102539,0.0,1.0
2023-09-14,35.47,35.885,34.93,35.23,34.4354430819968,544718,0.0,1.0
2023-09-13,36.06,36.06,34.8,34.94,34.1519835732321,599205,0.0,1.0
2023-09-12,35.91,36.56,35.67,35.77,34.9632642362482,668403,0.0,1.0
2023-09-11,36.27,36.48,35.89,35.94,35.1294301551792,438474,0.0,1.0
2023-09-08,36.35,36.35,35.6,35.95,35.1392046209987,449363,0.0,1.0
2023-09-07,37.08,37.41,35.825,36.23,35.4128896639439,608606,0.0,1.0
2023-09-06,37.07,37.44,36.47,37.43,36.5858255622804,599878,0.0,1.0
2023-09-05,37.5,37.76,36.87,37.07,36.2339447927795,810124,0.0,1.0
2023-09-01,38.1,38.85,38.0001,38.73,37.8565061188117,400930,0.0,1.0
2023-08-31,37.75,37.92,37.23,37.58,36.7324425495725,499392,0.0,1.0
2023-08-30,37.58,37.97,37.435,37.54,36.6933446862946,388259,0.0,1.0
2023-08-29,37.29,37.95,37.04,37.68,36.8301872077672,402990,0.0,1.0
2023-08-28,37.38,37.9,37.15,37.19,36.3512383826131,327680,0.0,1.0
2023-08-25,37.21,37.68,36.865,37.01,36.1752979978626,509321,0.0,1.0
2023-08-24,36.89,37.61,36.89,37.26,36.4196596433494,496397,0.0,1.0
2023-08-23,36.59,37.15,36.0,36.91,36.0775533396679,357281,0.0,1.0
2023-08-22,37.9,37.9,36.5,36.51,35.6865747068891,766459,0.0,1.0
2023-08-21,37.54,37.645,37.05,37.44,36.5956000280999,377882,0.0,1.0
2023-08-18,36.84,37.835,36.84,37.53,36.6835702204751,435095,0.0,1.0
2023-08-17,37.5,37.86,37.15,37.43,36.5858255622804,684768,0.0,1.0
2023-08-16,38.06,38.39,37.29,37.31,36.4685319724468,690256,0.0,1.0
2023-08-15,38.92,39.135,37.89,38.22,37.3580083620187,505548,0.0,1.0
2023-08-14,39.88,39.88,39.03,39.34,38.4527485337994,523985,0.0,1.0
2023-08-11,40.5,40.61,40.02,40.3,39.3910972524686,316782,0.0,1.0
2023-08-10,40.88,41.4,40.31,40.72,39.8016248168864,624000,0.21,1.0
2023-08-09,40.87,40.87,40.01,40.68,39.5585169203748,730787,0.0,1.0
2023-08-08,40.31,41.03,39.8225,41.0,39.8696950279097,530184,0.0,1.0
2023-08-07,40.88,41.63,40.725,41.18,40.0447327133981,624717,0.0,1.0
2023-08-04,39.76,40.87,39.11,40.54,39.4223764983283,630034,0.0,1.0
2023-08-03,39.76,40.345,39.24,40.02,38.916712073584,586967,0.0,1.0
2023-08-02,40.42,40.51,39.42,39.72,38.6249825977701,868658,0.0,1.0
2023-08-01,41.45,41.45,40.3637,40.55,39.4321008141887,951031,0.0,1.0
2023-07-31,41.15,41.8897,40.5,41.57,40.4239810319562,1102099,0.0,1.0
2023-07-28,40.35,41.07,39.57,40.75,39.626587131398,867262,0.0,1.0
2023-07-27,38.85,39.89,37.41,39.4,38.3138044902352,1710477,0.0,1.0
2023-07-26,36.56,37.475,36.37,36.39,35.386785416235,1066917,0.0,1.0
2023-07-25,37.42,37.57,36.77,36.87,35.8535525775373,928519,0.0,1.0
2023-07-24,36.73,37.465,36.58,37.3,36.2716981595374,490895,0.0,1.0
2023-07-21,36.96,37.03,35.95,36.53,35.5229258382815,735342,0.0,1.0
2023-07-20,37.01,37.07,36.17,36.78,35.7660337347931,871117,0.0,1.0
2023-07-19,37.15,37.63,36.56,37.39,36.3592170022815,778250,0.0,1.0
2023-07-18,35.42,36.85,35.4,36.84,35.8243796299559,1419844,0.0,1.0
2023-07-17,34.5,35.4425,34.24,35.09,34.1226243543744,452489,0.0,1.0
2023-07-14,36.27,36.28,34.4,34.85,33.8892407737232,619573,0.0,1.0
2023-07-13,35.19,36.19,34.84,36.17,35.1728504673047,1057368,0.0,1.0
2023-07-12,35.12,35.29,34.565,34.77,33.8114462468395,685214,0.0,1.0
2023-07-11,33.45,34.26,33.13,34.15,33.2085386634906,995028,0.0,1.0
2023-07-10,31.68,33.38,31.555,33.24,32.3236259201882,2126641,0.0,1.0
2023-07-07,31.44,31.87,31.12,31.46,30.5926976970253,1546716,0.0,1.0
2023-07-06,31.16,31.53,30.43,31.17,30.3106925370718,1988570,0.0,1.0
2023-07-05,31.51,32.22,31.11,31.65,30.7774596983742,1695770,0.0,1.0
2023-07-03,31.44,32.25,31.44,31.81,30.9330487521416,564510,0.0,1.0
2023-06-30,31.45,31.85,30.69,31.39,30.5246274860021,1320602,0.0,1.0
2023-06-29,30.02,30.93,30.02,30.87,30.0189630612579,579702,0.0,1.0
2023-06-28,29.97,30.07,29.42,29.94,29.1146016862345,695271,0.0,1.0
2023-06-27,29.67,30.57,29.28,30.29,29.4549527413508,670311,0.0,1.0
2023-06-26,29.45,30.18,29.45,29.66,28.8423208421415,693421,0.0,1.0
2023-06-23,29.12,29.75,28.77,29.45,28.6381102090717,820063,0.0,1.0
2023-06-22,29.93,30.22,29.17,29.7,28.8812181055834,982645,0.0,1.0
2023-06-21,30.24,30.44,29.68,30.14,29.3090880034439,835315,0.0,1.0
2023-06-20,30.5,30.74,29.555,30.21,29.3771582144671,1612398,0.0,1.0
2023-06-16,31.32,31.39,30.3,30.74,29.8925469550718,1412635,0.0,1.0
2023-06-15,30.35,31.12,29.875,30.95,30.0967575881416,969892,0.0,1.0
2023-06-14,31.88,32.1,30.19,30.71,29.8633740074904,1100034,0.0,1.0
2023-06-13,30.5,32.0,30.3,31.88,31.0011189631649,1230292,0.0,1.0
2023-06-12,29.98,30.8,29.715,30.64,29.7953037964671,1681648,0.0,1.0
2023-06-09,30.88,30.91,30.0,30.25,29.416055477909,3976601,0.0,1.0
2023-06-08,30.75,31.09,29.2401,30.74,29.8925469550718,4587967,0.0,1.0
