,OXM_Open,OXM_High,OXM_Low,OXM_Close,OXM_Adj Close,OXM_Volume,OXM_Dividend Amount,OXM_Split Coefficient
2023-12-11,94.03,97.26,93.77,96.69,94.7770129231612,192010,0.0,1.0
2023-12-08,94.37,94.37,91.61,93.18,91.3364573811165,204998,0.0,1.0
2023-12-07,89.79,95.78,87.7345,94.91,93.0322297707852,349676,0.0,1.0
2023-12-06,88.4,92.33,88.27,91.38,89.5720699236577,325575,0.0,1.0
2023-12-05,92.45,92.45,87.88,87.91,86.1707229917789,208483,0.0,1.0
2023-12-04,93.27,94.69,91.93,92.41,90.5816916354258,225492,0.0,1.0
2023-12-01,90.0,93.69,90.0,93.66,91.8069607031055,241155,0.0,1.0
2023-11-30,91.94,92.1,89.82,90.43,88.6408654322212,204862,0.0,1.0
2023-11-29,94.61,94.8,91.19,91.89,90.0719797032711,205437,0.0,1.0
2023-11-28,95.03,95.03,93.25,93.56,91.7089391776912,100340,0.0,1.0
2023-11-27,94.36,95.26,93.46,95.15,93.2674814317798,128695,0.0,1.0
2023-11-24,93.34,94.6,93.34,94.54,92.6695501267521,51893,0.0,1.0
2023-11-22,94.34,94.67,93.05,93.43,91.5815111946525,104929,0.0,1.0
2023-11-21,94.19,95.425,93.16,93.38,91.5325004319453,171613,0.0,1.0
2023-11-20,94.53,95.55,93.55,95.35,93.4635244826085,137503,0.0,1.0
2023-11-17,93.6,95.61,92.8507,94.53,92.6597479742106,161223,0.0,1.0
2023-11-16,93.18,93.38,90.77,92.09,90.2680227540998,127911,0.0,1.0
2023-11-15,90.79,94.4,90.79,93.68,91.8265650081884,275036,0.0,1.0
2023-11-14,87.51,90.57,86.8296,90.2,88.4154159237681,145221,0.0,1.0
2023-11-13,85.0,85.28,84.37,84.66,82.9850234158116,97624,0.0,1.0
2023-11-10,84.38,86.78,83.73,85.83,84.1318752631598,111729,0.0,1.0
2023-11-09,86.86,86.86,84.04,84.45,82.7791782124414,120369,0.0,1.0
2023-11-08,86.05,86.6399,85.33,86.04,84.33772046653,165077,0.0,1.0
2023-11-07,86.61,87.105,85.29,85.77,84.0730623479112,108305,0.0,1.0
2023-11-06,87.21,87.5,86.41,86.63,84.9160474664748,137302,0.0,1.0
2023-11-03,87.05,90.0,86.8314,88.59,86.8372693645966,214326,0.0,1.0
2023-11-02,85.0,86.105,84.5,85.94,84.2396989411156,97891,0.0,1.0
2023-11-01,83.75,84.11,82.33,83.8,82.142038297248,146637,0.0,1.0
2023-10-31,85.29,85.55,84.15,84.4,82.7301674497342,133503,0.0,1.0
2023-10-30,87.19,87.19,85.14,85.67,83.9750408224968,143371,0.0,1.0
2023-10-27,87.64,88.47,84.93,85.9,84.2004903309499,159011,0.0,1.0
2023-10-26,89.0,89.42,87.6,88.01,86.2687445171932,67211,0.0,1.0
2023-10-25,88.04,89.25,86.79,88.86,87.1019274832154,108883,0.0,1.0
2023-10-24,90.27,90.38,88.27,88.57,86.8176650595137,82644,0.0,1.0
2023-10-23,89.73,89.93,87.96,89.45,87.6802544831603,150789,0.0,1.0
2023-10-20,91.45,91.71,88.89,89.33,87.562628652663,168021,0.0,1.0
2023-10-19,93.65,94.33,90.74,90.99,89.1897859745417,183243,0.0,1.0
2023-10-18,94.03,95.14,93.08,94.5,92.6303415165863,130983,0.0,1.0
2023-10-17,92.71,97.72,92.71,94.92,93.0420319233267,279931,0.0,1.0
2023-10-16,90.48,93.17,90.17,92.94,91.101205720122,126104,0.0,1.0
2023-10-13,91.16,91.23,89.1,89.88,88.1017470424421,131903,0.0,1.0
2023-10-12,93.07,93.07,90.74,91.41,89.6014763812821,200252,0.65,1.0
2023-10-11,93.66,95.15,92.6,93.05,90.5650377718694,111100,0.0,1.0
2023-10-10,92.85,94.78,92.66,93.87,91.3631391256892,96115,0.0,1.0
2023-10-09,92.54,93.1851,91.84,92.54,90.0686576615668,141480,0.0,1.0
2023-10-06,92.81,94.62,92.525,93.54,91.0419519954934,95925,0.0,1.0
2023-10-05,94.47,94.85,92.86,93.83,91.3242073523321,128797,0.0,1.0
2023-10-04,94.2,95.46,92.74,94.77,92.2391040262231,167064,0.0,1.0
2023-10-03,95.99,96.71,93.06,94.1,91.5869968224923,134334,0.0,1.0
2023-10-02,96.27,97.97,95.64,96.9,94.3122209574868,143452,0.0,1.0
2023-09-29,97.58,98.41,95.6938,96.13,93.5627843203633,133707,0.0,1.0
2023-09-28,93.5,97.05,93.5,96.8,94.2148915240941,133784,0.0,1.0
2023-09-27,94.0,94.9,92.79,93.94,91.431269729064,111808,0.0,1.0
2023-09-26,93.52,94.395,93.14,93.14,90.6526342619228,94203,0.0,1.0
2023-09-25,93.22,95.04,93.0801,94.03,91.5188662191174,127887,0.0,1.0
2023-09-22,95.72,96.6299,93.93,93.96,91.4507356157426,111187,0.0,1.0
2023-09-21,96.96,97.15,95.5,95.85,93.2902619068638,193577,0.0,1.0
2023-09-20,97.98,99.6,97.71,97.75,95.1395211413244,169928,0.0,1.0
2023-09-19,96.41,98.55,96.17,97.99,95.3731117814667,131133,0.0,1.0
2023-09-18,97.71,97.71,95.43,96.2,93.6309149237381,148817,0.0,1.0
2023-09-15,96.02,98.88,95.97,97.8,95.1881858580207,477169,0.0,1.0
2023-09-14,93.81,96.14,93.48,96.13,93.5627843203633,216321,0.0,1.0
2023-09-13,92.67,93.37,91.03,93.11,90.623435431905,224762,0.0,1.0
2023-09-12,94.54,95.13,91.5,92.39,89.9226635114778,279050,0.0,1.0
2023-09-11,96.7,96.8909,94.87,95.34,92.7938817965613,143822,0.0,1.0
2023-09-08,96.4,96.54,95.14,95.35,92.8036147399005,131110,0.0,1.0
2023-09-07,95.35,96.93,94.83,96.62,94.0396985439873,197481,0.0,1.0
2023-09-06,98.23,99.615,95.01,95.46,92.9106771166325,188064,0.0,1.0
2023-09-05,100.53,100.86,98.1,98.36,95.7332306850196,303598,0.0,1.0
2023-09-01,97.98,103.42,95.57,102.09,99.3636185505658,548318,0.0,1.0
2023-08-31,101.48,102.58,100.84,100.99,98.2929947832465,196217,0.0,1.0
2023-08-30,102.21,102.95,101.255,101.34,98.6336478001208,213723,0.0,1.0
2023-08-29,101.8,103.08,101.13,102.78,100.035191640975,161461,0.0,1.0
2023-08-28,102.04,103.99,101.22,101.96,99.2370902871553,184646,0.0,1.0
2023-08-25,101.08,102.5,99.93,101.47,98.7601760635313,231102,0.0,1.0
2023-08-24,102.47,104.47,99.84,100.13,97.4559616560696,216115,0.0,1.0
2023-08-23,102.1,102.75,99.715,102.21,99.480413870637,259201,0.0,1.0
2023-08-22,101.67,103.39,100.99,103.3,100.541304694617,231184,0.0,1.0
2023-08-21,101.98,102.55,100.635,101.19,98.4876536500318,182807,0.0,1.0
2023-08-18,101.3,102.47,101.3,101.98,99.2565561738338,92526,0.0,1.0
2023-08-17,101.98,103.24,101.51,101.8,99.0813631937271,115606,0.0,1.0
2023-08-16,103.49,105.45,101.94,102.03,99.3052208905302,116640,0.0,1.0
2023-08-15,103.0,104.63,102.42,103.83,101.057150691598,126514,0.0,1.0
2023-08-14,104.49,105.0,103.17,103.68,100.911156541509,161939,0.0,1.0
2023-08-11,105.9,106.6594,104.84,104.93,102.127774458917,201209,0.0,1.0
2023-08-10,106.88,107.83,105.56,106.33,103.490386526415,195969,0.0,1.0
2023-08-09,106.47,106.91,105.075,106.29,103.451454753057,137923,0.0,1.0
2023-08-08,106.23,106.5,103.23,106.16,103.324926489647,179609,0.0,1.0
2023-08-07,106.96,107.79,106.21,107.4,104.531811463716,113601,0.0,1.0
2023-08-04,105.3,107.1,105.06,105.99,103.159466452879,144522,0.0,1.0
2023-08-03,105.74,106.5,104.34,105.13,102.322433325703,151934,0.0,1.0
2023-08-02,104.58,106.78,104.04,106.26,103.42225592304,133808,0.0,1.0
2023-08-01,106.88,108.69,106.06,106.09,103.256795886272,169730,0.0,1.0
2023-07-31,107.88,108.96,106.435,107.85,104.969793913983,282439,0.0,1.0
2023-07-28,106.92,108.255,106.62,107.11,104.249556106877,105999,0.0,1.0
2023-07-27,105.47,106.735,104.64,105.65,102.828546379344,165948,0.0,1.0
2023-07-26,105.46,106.865,103.41,104.65,101.855252045418,147002,0.0,1.0
2023-07-25,106.84,107.56,104.84,105.25,102.439228645774,170140,0.0,1.0
2023-07-24,106.95,108.54,106.95,107.07,104.21062433352,218249,0.0,1.0
2023-07-21,110.29,111.115,106.68,106.68,103.831039543289,197342,0.0,1.0
2023-07-20,108.18,109.66,107.23,109.5,106.575729564962,173626,0.0,1.0
2023-07-19,105.76,108.1,104.99,107.98,105.096322177393,222053,0.0,1.0
2023-07-18,104.32,106.43,104.31,106.02,103.188665282897,200923,0.0,1.0
2023-07-17,102.34,104.615,101.2,104.51,101.718990838668,161440,0.0,1.0
2023-07-14,103.25,103.57,100.39,101.76,99.04243142037,114949,0.0,1.0
2023-07-13,103.29,103.89,101.985,103.25,100.492639977921,122723,0.65,1.0
2023-07-12,105.25,105.56,103.99,104.29,100.869850079859,157816,0.0,1.0
2023-07-11,101.35,103.69,100.99,103.61,100.212150414941,145095,0.0,1.0
2023-07-10,99.36,102.53,99.36,101.34,98.016594180582,203751,0.0,1.0
2023-07-07,99.28,100.73,99.165,99.63,96.362672964391,152173,0.0,1.0
2023-07-06,99.35,100.05,97.82,99.37,96.1111995630989,170246,0.0,1.0
2023-07-05,102.5,102.685,99.71,100.64,97.3395504078723,264883,0.0,1.0
2023-07-03,98.77,103.9,98.77,103.9,100.492639977921,151445,0.0,1.0
2023-06-30,98.12,99.11,97.72,98.42,95.1923544429927,181086,0.0,1.0
2023-06-29,96.16,98.1,96.16,97.68,94.4766224546996,190254,0.0,1.0
2023-06-28,96.14,96.14,93.495,95.96,92.8130291846127,346518,0.0,1.0
2023-06-27,96.15,98.085,95.54,96.54,93.3740083105722,190881,0.0,1.0
2023-06-26,94.13,97.065,94.13,95.88,92.7356527534459,303069,0.0,1.0
2023-06-23,96.05,96.6082,93.3,93.37,90.3079672255866,548541,0.0,1.0
2023-06-22,100.49,100.55,96.94,97.14,93.9543315443235,275513,0.0,1.0
2023-06-21,98.92,101.31,98.865,100.62,97.3202063000806,187316,0.0,1.0
2023-06-20,99.09,100.5,97.455,98.97,95.7243174072647,367734,0.0,1.0
2023-06-16,103.23,103.23,98.02,99.01,95.7630056228481,427768,0.0,1.0
2023-06-15,100.96,102.64,100.08,102.57,99.206256809772,182986,0.0,1.0
2023-06-14,100.99,102.92,100.19,101.47,98.1423308812281,242486,0.0,1.0
2023-06-13,100.41,101.19,98.58,100.76,97.4556150546225,233077,0.0,1.0
2023-06-12,99.98,101.99,98.32,100.71,97.4072547851433,259349,0.0,1.0
2023-06-09,101.38,101.38,96.85,99.03,95.7823497306398,393913,0.0,1.0
2023-06-08,98.64,102.92,96.37,101.0,97.687744348123,803139,0.0,1.0
2023-06-07,104.88,107.93,104.61,107.21,103.694089817448,400721,0.0,1.0
2023-06-06,99.78,105.26,99.78,103.38,99.9896931753362,291072,0.0,1.0
2023-06-05,98.74,99.73,95.5,99.05,95.8016938384315,269299,0.0,1.0
