,INGN_Open,INGN_High,INGN_Low,INGN_Close,INGN_Adj Close,INGN_Volume,INGN_Dividend Amount,INGN_Split Coefficient
2024-03-20,6.82,7.0,6.64,6.89,6.89,150139,0.0,1.0
2024-03-19,6.8,6.98,6.76,6.85,6.85,198700,0.0,1.0
2024-03-18,6.89,7.22,6.67,6.84,6.84,449950,0.0,1.0
2024-03-15,6.75,6.98,6.65,6.9,6.9,296398,0.0,1.0
2024-03-14,7.15,7.15,6.64,6.75,6.75,263390,0.0,1.0
2024-03-13,6.96,7.22,6.955,7.14,7.14,241017,0.0,1.0
2024-03-12,7.13,7.2,6.77,6.98,6.98,422543,0.0,1.0
2024-03-11,7.67,7.67,7.18,7.19,7.19,216940,0.0,1.0
2024-03-08,7.66,8.03,7.52,7.59,7.59,613169,0.0,1.0
2024-03-07,7.08,7.59,7.08,7.54,7.54,410392,0.0,1.0
2024-03-06,6.85,7.15,6.7262,7.03,7.03,441378,0.0,1.0
2024-03-05,6.55,6.98,6.5186,6.75,6.75,330757,0.0,1.0
2024-03-04,7.04,7.06,6.47,6.68,6.68,610700,0.0,1.0
2024-03-01,6.67,7.03,6.6,7.025,7.025,706257,0.0,1.0
2024-02-29,6.3,6.9699,6.22,6.65,6.65,1132967,0.0,1.0
2024-02-28,7.1,7.24,5.82,6.29,6.29,2833189,0.0,1.0
2024-02-27,9.38,9.7,9.12,9.34,9.34,577452,0.0,1.0
2024-02-26,9.38,9.46,9.0315,9.28,9.28,306798,0.0,1.0
2024-02-23,9.27,9.38,9.06,9.19,9.19,270582,0.0,1.0
2024-02-22,9.35,9.65,9.25,9.37,9.37,264461,0.0,1.0
2024-02-21,9.3,9.49,9.07,9.39,9.39,564785,0.0,1.0
2024-02-20,9.85,10.06,9.47,9.49,9.49,723383,0.0,1.0
2024-02-16,9.92,10.27,9.4607,10.03,10.03,589077,0.0,1.0
2024-02-15,9.16,10.64,9.16,10.15,10.15,1730971,0.0,1.0
2024-02-14,8.2,8.55,7.9995,8.51,8.51,599875,0.0,1.0
2024-02-13,8.31,8.55,7.91,7.99,7.99,780847,0.0,1.0
2024-02-12,8.48,9.05,8.333,8.71,8.71,1510043,0.0,1.0
2024-02-09,7.62,8.37,7.52,8.21,8.21,1111852,0.0,1.0
2024-02-08,7.66,7.99,7.36,7.57,7.57,934032,0.0,1.0
2024-02-07,7.43,7.74,6.97,7.68,7.68,1055083,0.0,1.0
2024-02-06,6.7,7.51,6.67,7.44,7.44,780248,0.0,1.0
2024-02-05,6.49,6.85,6.3313,6.71,6.71,436891,0.0,1.0
2024-02-02,7.19,7.19,6.65,6.66,6.66,468562,0.0,1.0
2024-02-01,7.11,7.49,6.93,7.27,7.27,757754,0.0,1.0
2024-01-31,6.28,7.49,6.215,7.115,7.115,2038351,0.0,1.0
2024-01-30,5.99,6.44,5.79,6.335,6.335,694966,0.0,1.0
2024-01-29,5.73,6.02,5.67,6.0,6.0,218005,0.0,1.0
2024-01-26,5.69,5.815,5.605,5.7,5.7,498019,0.0,1.0
2024-01-25,5.5,5.65,5.37,5.64,5.64,284837,0.0,1.0
2024-01-24,5.54,5.5803,5.33,5.33,5.33,261637,0.0,1.0
2024-01-23,5.65,5.74,5.38,5.49,5.49,766548,0.0,1.0
2024-01-22,5.35,5.65,5.27,5.57,5.57,398026,0.0,1.0
2024-01-19,5.37,5.39,5.08,5.35,5.35,446693,0.0,1.0
2024-01-18,5.37,5.4305,5.16,5.325,5.325,246569,0.0,1.0
2024-01-17,5.24,5.42,5.21,5.37,5.37,371809,0.0,1.0
2024-01-16,5.87,5.8999,5.36,5.4,5.4,787667,0.0,1.0
2024-01-12,6.29,6.55,5.94,5.98,5.98,615504,0.0,1.0
2024-01-11,6.31,6.48,6.0111,6.285,6.285,453553,0.0,1.0
2024-01-10,6.01,6.37,5.72,6.36,6.36,544956,0.0,1.0
2024-01-09,6.35,6.5,6.04,6.05,6.05,516009,0.0,1.0
2024-01-08,6.05,6.56,5.9545,6.535,6.535,1117971,0.0,1.0
2024-01-05,5.13,6.4797,5.09,6.07,6.07,2993835,0.0,1.0
2024-01-04,5.36,5.365,5.18,5.26,5.26,164080,0.0,1.0
2024-01-03,5.62,5.62,5.23,5.275,5.275,341872,0.0,1.0
2024-01-02,5.47,5.85,5.29,5.67,5.67,240395,0.0,1.0
2023-12-29,5.63,5.65,5.46,5.49,5.49,209148,0.0,1.0
2023-12-28,5.6,5.7,5.5,5.65,5.65,310469,0.0,1.0
2023-12-27,5.72,5.73,5.43,5.585,5.585,193405,0.0,1.0
2023-12-26,5.78,5.85,5.6899,5.74,5.74,100450,0.0,1.0
2023-12-22,6.09,6.09,5.66,5.78,5.78,170588,0.0,1.0
2023-12-21,6.08,6.1322,5.82,5.91,5.91,154270,0.0,1.0
2023-12-20,5.92,6.1,5.79,5.81,5.81,190689,0.0,1.0
2023-12-19,5.96,6.08,5.77,5.96,5.96,493959,0.0,1.0
2023-12-18,6.17,6.17,5.76,5.78,5.78,214612,0.0,1.0
2023-12-15,6.41,6.48,6.07,6.13,6.13,388030,0.0,1.0
2023-12-14,6.29,6.64,6.2667,6.32,6.32,315945,0.0,1.0
2023-12-13,5.75,6.14,5.56,6.12,6.12,342640,0.0,1.0
2023-12-12,5.61,5.89,5.52,5.78,5.78,181784,0.0,1.0
2023-12-11,5.95,5.97,5.56,5.68,5.68,199014,0.0,1.0
2023-12-08,5.8,6.07,5.8,5.94,5.94,323820,0.0,1.0
2023-12-07,5.01,6.56,4.95,5.81,5.81,1847624,0.0,1.0
2023-12-06,5.1,5.35,4.935,4.99,4.99,337636,0.0,1.0
2023-12-05,5.75,5.75,4.93,5.09,5.09,370706,0.0,1.0
2023-12-04,5.75,5.93,5.64,5.68,5.68,147397,0.0,1.0
2023-12-01,5.78,5.92,5.61,5.72,5.72,176801,0.0,1.0
2023-11-30,5.89,6.01,5.59,5.82,5.82,223631,0.0,1.0
2023-11-29,5.84,6.04,5.6,5.86,5.86,570892,0.0,1.0
2023-11-28,5.86,5.88,5.55,5.79,5.79,541929,0.0,1.0
2023-11-27,5.96,6.27,5.86,5.88,5.88,498057,0.0,1.0
2023-11-24,5.81,6.04,5.8,6.03,6.03,239006,0.0,1.0
2023-11-22,5.9,6.08,5.7521,5.79,5.79,383981,0.0,1.0
2023-11-21,5.72,5.88,5.53,5.82,5.82,331635,0.0,1.0
2023-11-20,5.78,5.82,5.6,5.79,5.79,416191,0.0,1.0
2023-11-17,5.72,5.82,5.4,5.74,5.74,202497,0.0,1.0
2023-11-16,5.76,6.05,5.62,5.64,5.64,341200,0.0,1.0
2023-11-15,5.5,5.87,5.5,5.79,5.79,458697,0.0,1.0
2023-11-14,5.13,5.49,5.13,5.49,5.49,379434,0.0,1.0
2023-11-13,4.79,4.99,4.6785,4.86,4.86,248325,0.0,1.0
2023-11-10,4.81,4.865,4.59,4.85,4.85,394287,0.0,1.0
2023-11-09,5.22,5.22,4.79,4.81,4.81,285801,0.0,1.0
2023-11-08,4.96,5.33,4.49,5.21,5.21,374727,0.0,1.0
2023-11-07,5.27,5.32,5.08,5.27,5.27,268864,0.0,1.0
2023-11-06,5.4,5.51,5.25,5.28,5.28,282337,0.0,1.0
2023-11-03,5.2,5.44,5.2,5.33,5.33,363860,0.0,1.0
2023-11-02,5.0,5.14,4.91,5.13,5.13,299916,0.0,1.0
2023-11-01,4.49,4.93,4.44,4.91,4.91,266555,0.0,1.0
2023-10-31,4.5,4.63,4.37,4.47,4.47,375128,0.0,1.0
2023-10-30,4.62,4.91,4.39,4.42,4.42,949366,0.0,1.0
2023-10-27,4.55,4.55,4.13,4.21,4.21,287924,0.0,1.0
2023-10-26,4.6,4.6,4.395,4.42,4.42,267715,0.0,1.0
2023-10-25,4.51,4.54,4.37,4.52,4.52,163536,0.0,1.0
2023-10-24,4.49,4.71,4.49,4.55,4.55,299132,0.0,1.0
2023-10-23,4.45,4.56,4.39,4.43,4.43,271805,0.0,1.0
2023-10-20,4.62,4.76,4.4,4.46,4.46,202469,0.0,1.0
2023-10-19,4.67,4.76,4.6,4.62,4.62,86404,0.0,1.0
2023-10-18,4.86,4.86,4.67,4.68,4.68,932699,0.0,1.0
2023-10-17,4.85,5.04,4.77,4.92,4.92,154146,0.0,1.0
2023-10-16,4.67,4.91,4.54,4.89,4.89,195810,0.0,1.0
2023-10-13,4.55,4.64,4.41,4.61,4.61,237993,0.0,1.0
2023-10-12,4.76,4.76,4.415,4.54,4.54,272629,0.0,1.0
2023-10-11,5.0,5.0,4.68,4.76,4.76,140033,0.0,1.0
2023-10-10,4.72,5.01,4.72,5.0,5.0,142634,0.0,1.0
2023-10-09,4.7,4.74,4.56,4.705,4.705,235373,0.0,1.0
2023-10-06,4.78,4.85,4.64,4.79,4.79,228652,0.0,1.0
2023-10-05,4.92,4.965,4.79,4.81,4.81,190476,0.0,1.0
2023-10-04,4.96,5.0,4.74,4.94,4.94,203856,0.0,1.0
2023-10-03,5.14,5.26,4.87,4.885,4.885,190840,0.0,1.0
2023-10-02,5.2,5.26,5.0,5.18,5.18,324361,0.0,1.0
2023-09-29,5.41,5.43,5.19,5.22,5.22,179534,0.0,1.0
2023-09-28,5.31,5.39,5.28,5.36,5.36,344152,0.0,1.0
2023-09-27,5.28,5.4,5.26,5.3,5.3,242739,0.0,1.0
2023-09-26,5.08,5.31,5.08,5.25,5.25,188204,0.0,1.0
2023-09-25,5.18,5.23,5.115,5.14,5.14,173032,0.0,1.0
2023-09-22,5.17,5.29,5.14,5.21,5.21,320197,0.0,1.0
2023-09-21,5.09,5.22,5.055,5.15,5.15,246512,0.0,1.0
2023-09-20,5.42,5.51,5.105,5.2,5.2,196551,0.0,1.0
2023-09-19,5.39,5.48,5.28,5.42,5.42,229371,0.0,1.0
2023-09-18,5.6,5.63,5.38,5.4,5.4,256632,0.0,1.0
2023-09-15,5.98,6.03,5.57,5.58,5.58,505771,0.0,1.0
2023-09-14,5.8,6.02,5.74,5.98,5.98,181098,0.0,1.0
2023-09-13,6.02,6.02,5.76,5.79,5.79,212062,0.0,1.0
2023-09-12,5.8,6.02,5.8,5.9,5.9,176274,0.0,1.0
2023-09-11,6.04,6.09,5.77,5.85,5.85,264007,0.0,1.0
2023-09-08,5.93,6.04,5.77,6.0,6.0,261716,0.0,1.0
2023-09-07,5.92,6.05,5.75,5.95,5.95,258319,0.0,1.0
2023-09-06,6.08,6.12,5.9,6.01,6.01,192596,0.0,1.0
2023-09-05,6.13,6.16,5.91,6.1,6.1,294110,0.0,1.0
2023-09-01,6.22,6.29,6.16,6.18,6.18,182538,0.0,1.0
2023-08-31,6.25,6.32,6.195,6.21,6.21,143952,0.0,1.0
2023-08-30,6.23,6.48,6.23,6.26,6.26,105273,0.0,1.0
2023-08-29,6.07,6.27,6.07,6.25,6.25,173825,0.0,1.0
2023-08-28,6.0,6.179,5.945,6.09,6.09,166284,0.0,1.0
2023-08-25,6.25,6.38,5.97,5.99,5.99,169398,0.0,1.0
2023-08-24,6.49,6.56,6.23,6.25,6.25,191169,0.0,1.0
2023-08-23,6.33,6.53,6.28,6.5,6.5,215902,0.0,1.0
2023-08-22,6.43,6.49,6.23,6.34,6.34,183728,0.0,1.0
2023-08-21,6.3,6.445,6.21,6.42,6.42,251338,0.0,1.0
2023-08-18,6.28,6.3895,6.19,6.29,6.29,184595,0.0,1.0
2023-08-17,6.19,6.36,6.085,6.32,6.32,197073,0.0,1.0
2023-08-16,6.18,6.325,6.1,6.21,6.21,174886,0.0,1.0
2023-08-15,6.1,6.295,6.09,6.21,6.21,207731,0.0,1.0
2023-08-14,6.17,6.2,5.97,6.15,6.15,236898,0.0,1.0
2023-08-11,6.11,6.23,5.97,6.17,6.17,256943,0.0,1.0
2023-08-10,6.24,6.56,6.095,6.11,6.11,327471,0.0,1.0
2023-08-09,6.52,6.6225,6.06,6.22,6.22,558050,0.0,1.0
2023-08-08,6.02,6.62,5.525,6.48,6.48,1222007,0.0,1.0
2023-08-07,7.54,7.61,7.35,7.5,7.5,256158,0.0,1.0
2023-08-04,7.67,7.685,7.45,7.59,7.59,209461,0.0,1.0
2023-08-03,7.66,7.66,7.41,7.63,7.63,200492,0.0,1.0
2023-08-02,7.77,7.81,7.5,7.58,7.58,216123,0.0,1.0
2023-08-01,8.16,8.18,7.85,7.89,7.89,210482,0.0,1.0
2023-07-31,8.1,8.19,8.01,8.17,8.17,160315,0.0,1.0
2023-07-28,8.07,8.27,8.009,8.1,8.1,234164,0.0,1.0
2023-07-27,8.35,8.48,8.02,8.05,8.05,196359,0.0,1.0
2023-07-26,8.11,8.53,8.11,8.31,8.31,233856,0.0,1.0
2023-07-25,8.22,8.39,8.01,8.13,8.13,259684,0.0,1.0
2023-07-24,8.6,8.62,8.23,8.26,8.26,301038,0.0,1.0
2023-07-21,8.62,8.74,8.35,8.58,8.58,283655,0.0,1.0
2023-07-20,8.45,8.71,8.42,8.64,8.64,245257,0.0,1.0
2023-07-19,8.69,8.92,8.39,8.4,8.4,417607,0.0,1.0
2023-07-18,9.12,9.26,8.66,8.66,8.66,261879,0.0,1.0
2023-07-17,8.89,9.15,8.58,9.11,9.11,833026,0.0,1.0
2023-07-14,9.62,9.66,8.68,8.89,8.89,990077,0.0,1.0
2023-07-13,9.65,10.42,9.55,10.26,10.26,757945,0.0,1.0
2023-07-12,10.62,10.8125,10.415,10.47,10.47,152892,0.0,1.0
2023-07-11,10.29,10.635,10.16,10.42,10.42,260179,0.0,1.0
2023-07-10,10.27,10.64,10.26,10.29,10.29,207516,0.0,1.0
2023-07-07,10.3,10.48,10.25,10.32,10.32,232652,0.0,1.0
2023-07-06,10.28,10.46,10.19,10.3,10.3,254434,0.0,1.0
2023-07-05,11.3,11.3,10.245,10.46,10.46,337719,0.0,1.0
2023-07-03,11.5,11.6,11.215,11.28,11.28,131991,0.0,1.0
2023-06-30,11.87,11.96,11.5,11.55,11.55,172319,0.0,1.0
2023-06-29,11.57,11.98,11.57,11.75,11.75,194557,0.0,1.0
2023-06-28,11.72,11.9,11.45,11.59,11.59,183414,0.0,1.0
2023-06-27,11.17,11.68,10.91,11.65,11.65,287016,0.0,1.0
2023-06-26,11.25,11.63,11.13,11.13,11.13,238474,0.0,1.0
2023-06-23,11.43,11.705,11.41,11.6,11.6,514724,0.0,1.0
2023-06-22,11.41,11.71,11.0925,11.56,11.56,345546,0.0,1.0
2023-06-21,11.14,11.53,10.861,11.41,11.41,454714,0.0,1.0
2023-06-20,10.6,11.305,10.37,11.25,11.25,628339,0.0,1.0
2023-06-16,10.56,10.91,10.5,10.62,10.62,6097482,0.0,1.0
2023-06-15,10.06,10.4,9.955,10.39,10.39,699518,0.0,1.0
2023-06-14,10.23,10.47,9.98,10.05,10.05,681205,0.0,1.0
2023-06-13,10.45,10.55,10.07,10.11,10.11,437308,0.0,1.0
2023-06-12,10.34,10.54,10.18,10.43,10.43,379805,0.0,1.0
2023-06-09,10.64,10.64,10.25,10.36,10.36,279077,0.0,1.0
2023-06-08,11.13,11.13,10.63,10.68,10.68,306099,0.0,1.0
2023-06-07,10.83,11.35,10.76,11.16,11.16,341721,0.0,1.0
2023-06-06,10.09,10.83,9.945,10.71,10.71,461164,0.0,1.0
2023-06-05,10.1,10.43,9.88,10.01,10.01,712450,0.0,1.0
2023-06-02,10.5,10.87,10.37,10.82,10.82,286500,0.0,1.0
2023-06-01,10.57,10.8,10.26,10.37,10.37,274083,0.0,1.0
2023-05-31,11.03,11.05,10.28,10.53,10.53,1094659,0.0,1.0
2023-05-30,11.09,11.34,10.94,11.03,11.03,178561,0.0,1.0
2023-05-26,10.8,11.17,10.79,11.11,11.11,141853,0.0,1.0
2023-05-25,11.11,11.11,10.645,10.83,10.83,142344,0.0,1.0
2023-05-24,11.15,11.32,11.04,11.23,11.23,133126,0.0,1.0
2023-05-23,11.25,11.5927,11.12,11.19,11.19,148527,0.0,1.0
2023-05-22,11.1,11.385,11.02,11.31,11.31,144221,0.0,1.0
2023-05-19,11.11,11.21,10.98,11.11,11.11,140147,0.0,1.0
2023-05-18,11.1,11.23,10.77,10.93,10.93,209160,0.0,1.0
2023-05-17,10.81,11.31,10.625,11.16,11.16,167129,0.0,1.0
2023-05-16,10.81,10.94,10.68,10.85,10.85,146721,0.0,1.0
2023-05-15,10.84,10.91,10.735,10.81,10.81,221946,0.0,1.0
2023-05-12,11.09,11.125,10.57,10.85,10.85,153509,0.0,1.0
2023-05-11,10.93,11.3222,10.87,11.09,11.09,267656,0.0,1.0
2023-05-10,11.37,11.37,10.61,11.1,11.1,392612,0.0,1.0
2023-05-09,11.73,11.7497,10.86,11.18,11.18,381296,0.0,1.0
2023-05-08,12.99,13.45,11.76,11.85,11.85,274958,0.0,1.0
2023-05-05,13.81,13.84,12.66,13.01,13.01,236462,0.0,1.0
2023-05-04,13.76,13.86,13.54,13.75,13.75,163057,0.0,1.0
2023-05-03,13.45,14.1,13.44,13.86,13.86,207822,0.0,1.0
2023-05-02,13.59,13.59,13.21,13.36,13.36,167826,0.0,1.0
2023-05-01,13.34,13.7,13.23,13.61,13.61,145490,0.0,1.0
2023-04-28,13.22,13.52,13.0928,13.31,13.31,156950,0.0,1.0
2023-04-27,13.03,13.165,12.73,13.09,13.09,121882,0.0,1.0
