,HSKA_Open,HSKA_High,HSKA_Low,HSKA_Close,HSKA_Adj Close,HSKA_Volume,HSKA_Dividend Amount,HSKA_Split Coefficient
2023-05-02,116.88,117.19,116.75,117.16,117.16,172027,0.0,1.0
2023-05-01,117.19,117.32,116.65,116.87,116.87,462264,0.0,1.0
2023-04-28,117.03,117.2,116.75,117.16,117.16,183919,0.0,1.0
2023-04-27,117.01,117.1,116.8,117.09,117.09,152889,0.0,1.0
2023-04-26,117.0,117.08,116.8,116.96,116.96,213089,0.0,1.0
2023-04-25,117.35,117.45,116.75,116.99,116.99,482165,0.0,1.0
2023-04-24,117.37,117.54,117.31,117.4,117.4,105336,0.0,1.0
2023-04-21,117.38,117.5,117.2,117.47,117.47,150470,0.0,1.0
2023-04-20,117.49,117.53,117.32,117.41,117.41,145264,0.0,1.0
2023-04-19,117.51,117.59,117.375,117.4,117.4,124854,0.0,1.0
2023-04-18,117.46,117.68,117.31,117.52,117.52,466478,0.0,1.0
2023-04-17,117.13,117.68,117.099,117.46,117.46,282941,0.0,1.0
2023-04-14,117.18,117.25,116.96,117.15,117.15,645117,0.0,1.0
2023-04-13,117.3,117.4,116.96,117.0,117.0,420992,0.0,1.0
2023-04-12,117.3,117.5,116.91,117.06,117.06,695962,0.0,1.0
2023-04-11,117.39,117.47,117.13,117.32,117.32,577693,0.0,1.0
2023-04-10,117.26,117.49,117.05,117.39,117.39,485297,0.0,1.0
2023-04-06,117.33,117.6,117.15,117.34,117.34,365980,0.0,1.0
2023-04-05,116.95,117.37,116.85,117.19,117.19,531638,0.0,1.0
2023-04-04,117.82,117.89,116.5,116.9,116.9,2091960,0.0,1.0
2023-04-03,117.0,118.0,116.76,117.74,117.74,2182152,0.0,1.0
2023-03-31,97.96,99.63,97.1,97.62,97.62,135893,0.0,1.0
2023-03-30,94.95,98.37,93.6,97.35,97.35,222501,0.0,1.0
2023-03-29,94.36,95.2,93.46,94.4,94.4,133677,0.0,1.0
2023-03-28,91.11,94.74,90.84,93.31,93.31,182524,0.0,1.0
2023-03-27,93.31,93.96,91.06,92.52,92.52,112941,0.0,1.0
2023-03-24,88.57,92.61,87.54,92.44,92.44,97194,0.0,1.0
2023-03-23,89.52,90.85,88.28,89.2,89.2,90935,0.0,1.0
2023-03-22,90.16,90.835,86.73,88.69,88.69,380312,0.0,1.0
2023-03-21,89.38,91.73,87.69,90.36,90.36,89113,0.0,1.0
2023-03-20,89.14,90.98,87.93,88.06,88.06,97306,0.0,1.0
2023-03-17,89.7,90.905,88.11,88.5,88.5,249295,0.0,1.0
2023-03-16,85.04,90.51,85.04,89.71,89.71,87878,0.0,1.0
2023-03-15,85.11,87.11,83.84,85.94,85.94,113707,0.0,1.0
2023-03-14,85.79,86.87,84.15,86.53,86.53,65799,0.0,1.0
2023-03-13,81.28,85.24,80.16,83.49,83.49,72491,0.0,1.0
2023-03-10,86.74,86.74,81.01,82.29,82.29,122452,0.0,1.0
2023-03-09,86.31,88.54,85.87,86.9,86.9,76709,0.0,1.0
2023-03-08,87.44,88.71,85.88,86.16,86.16,72494,0.0,1.0
2023-03-07,86.08,87.56,85.4,87.56,87.56,59116,0.0,1.0
2023-03-06,88.19,88.19,85.35,86.06,86.06,98403,0.0,1.0
2023-03-03,87.49,89.61,86.64,87.82,87.82,91120,0.0,1.0
2023-03-02,84.53,87.2611,83.6,86.87,86.87,73983,0.0,1.0
2023-03-01,82.93,85.65,82.1,85.29,85.29,80907,0.0,1.0
2023-02-28,83.3,85.34,81.33,81.43,81.43,149670,0.0,1.0
2023-02-27,81.71,82.75,80.07,80.39,80.39,138207,0.0,1.0
2023-02-24,81.63,82.5,79.54,80.5,80.5,114502,0.0,1.0
2023-02-23,82.51,83.41,80.8,83.14,83.14,98835,0.0,1.0
2023-02-22,79.57,81.87,78.8,81.32,81.32,114657,0.0,1.0
2023-02-21,79.67,81.55,78.15,79.87,79.87,204634,0.0,1.0
2023-02-17,83.55,83.55,80.08,81.03,81.03,76150,0.0,1.0
2023-02-16,83.23,86.675,82.31,83.41,83.41,105540,0.0,1.0
2023-02-15,80.4,84.78,80.4,84.74,84.74,62513,0.0,1.0
2023-02-14,81.45,83.14,79.95,81.41,81.41,106095,0.0,1.0
2023-02-13,80.68,82.26,79.7,82.02,82.02,108530,0.0,1.0
2023-02-10,79.33,81.05,77.29,81.0,81.0,142630,0.0,1.0
2023-02-09,85.26,86.405,79.58,79.9,79.9,111110,0.0,1.0
2023-02-08,87.35,89.0,83.64,84.51,84.51,104502,0.0,1.0
2023-02-07,85.82,88.385,83.91,88.07,88.07,97683,0.0,1.0
2023-02-06,87.92,89.7,85.92,86.29,86.29,134362,0.0,1.0
2023-02-03,91.63,93.86,88.31,88.48,88.48,104115,0.0,1.0
2023-02-02,90.8,95.4999,90.0,93.15,93.15,95979,0.0,1.0
2023-02-01,89.94,92.295,83.58,89.55,89.55,338556,0.0,1.0
2023-01-31,86.61,91.97,85.0,89.44,89.44,203195,0.0,1.0
2023-01-30,85.95,87.6,85.44,86.35,86.35,79506,0.0,1.0
2023-01-27,87.37,88.15,86.17,87.39,87.39,65997,0.0,1.0
2023-01-26,84.91,87.74,83.125,87.66,87.66,84420,0.0,1.0
2023-01-25,86.73,86.8,83.03,83.9,83.9,125760,0.0,1.0
2023-01-24,87.71,88.69,86.0,87.36,87.36,155413,0.0,1.0
2023-01-23,85.53,88.0,84.1,87.79,87.79,109485,0.0,1.0
2023-01-20,87.03,87.03,82.0,85.61,85.61,164745,0.0,1.0
2023-01-19,83.48,86.19,81.8044,86.03,86.03,141159,0.0,1.0
2023-01-18,79.1,84.72,77.6,84.02,84.02,154539,0.0,1.0
2023-01-17,77.7,79.4,74.77,79.0,79.0,169074,0.0,1.0
2023-01-13,72.89,79.8,71.0,78.46,78.46,161129,0.0,1.0
2023-01-12,72.32,74.35,70.03,73.47,73.47,53302,0.0,1.0
2023-01-11,73.13,73.99,70.44,71.87,71.87,158605,0.0,1.0
2023-01-10,69.04,75.61,69.04,73.37,73.37,236556,0.0,1.0
2023-01-09,62.89,73.09,62.35,67.31,67.31,162417,0.0,1.0
2023-01-06,60.52,62.7999,57.8321,62.17,62.17,169722,0.0,1.0
2023-01-05,64.34,64.34,62.085,62.54,62.54,80952,0.0,1.0
2023-01-04,63.58,65.2,62.2,64.44,64.44,75758,0.0,1.0
2023-01-03,63.11,63.79,61.72,63.07,63.07,98615,0.0,1.0
2022-12-30,62.81,63.4,61.07,62.16,62.16,64481,0.0,1.0
2022-12-29,62.33,64.14,61.8,63.85,63.85,90401,0.0,1.0
2022-12-28,63.91,64.4608,61.45,61.94,61.94,80161,0.0,1.0
2022-12-27,62.07,63.84,60.35,63.7,63.7,74843,0.0,1.0
2022-12-23,61.03,62.62,59.6401,62.3,62.3,46001,0.0,1.0
2022-12-22,60.75,61.64,59.57,60.84,60.84,199638,0.0,1.0
2022-12-21,60.44,61.46,59.9,61.42,61.42,75307,0.0,1.0
2022-12-20,61.06,62.28,59.8025,60.39,60.39,72487,0.0,1.0
2022-12-19,62.5,62.5,61.03,61.82,61.82,97280,0.0,1.0
2022-12-16,60.96,63.61,60.85,62.71,62.71,511243,0.0,1.0
2022-12-15,64.79,65.1,61.86,62.11,62.11,82620,0.0,1.0
2022-12-14,67.16,69.0,64.75,65.47,65.47,75983,0.0,1.0
2022-12-13,68.31,71.03,66.5,67.42,67.42,59294,0.0,1.0
2022-12-12,66.94,67.2717,65.7208,66.18,66.18,58197,0.0,1.0
2022-12-09,66.18,68.35,64.0,66.74,66.74,125076,0.0,1.0
2022-12-08,66.16,67.83,65.1,66.37,66.37,58155,0.0,1.0
2022-12-07,65.08,66.58,64.2,65.69,65.69,60437,0.0,1.0
2022-12-06,66.06,67.38,63.0,65.02,65.02,75006,0.0,1.0
2022-12-05,64.58,66.57,63.563,66.42,66.42,75753,0.0,1.0
2022-12-02,64.84,66.35,63.2,65.34,65.34,47584,0.0,1.0
2022-12-01,65.15,66.49,63.9682,66.05,66.05,53224,0.0,1.0
2022-11-30,60.66,64.58,59.685,64.35,64.35,116245,0.0,1.0
2022-11-29,60.18,62.0,59.52,60.21,60.21,121503,0.0,1.0
2022-11-28,61.71,63.65,59.64,60.49,60.49,118008,0.0,1.0
2022-11-25,62.61,63.8,61.55,62.15,62.15,37053,0.0,1.0
2022-11-23,62.83,64.515,62.21,62.88,62.88,54913,0.0,1.0
2022-11-22,64.61,64.9,62.0,62.66,62.66,58754,0.0,1.0
2022-11-21,63.13,64.87,61.87,64.41,64.41,68606,0.0,1.0
2022-11-18,67.51,68.2367,63.58,64.0,64.0,109366,0.0,1.0
2022-11-17,69.63,69.63,65.813,66.16,66.16,85171,0.0,1.0
2022-11-16,72.29,74.32,70.51,70.92,70.92,70701,0.0,1.0
2022-11-15,73.1,75.205,71.68,72.66,72.66,111759,0.0,1.0
2022-11-14,72.35,74.88,70.9,71.92,71.92,94018,0.0,1.0
2022-11-11,71.77,74.745,71.77,72.48,72.48,68079,0.0,1.0
2022-11-10,70.95,72.64,69.04,72.1,72.1,83884,0.0,1.0
2022-11-09,63.01,68.73,60.6196,68.11,68.11,89290,0.0,1.0
2022-11-08,65.0,65.0,58.0,63.69,63.69,255512,0.0,1.0
2022-11-07,64.28,66.03,62.99,65.05,65.05,133493,0.0,1.0
2022-11-04,64.99,66.0125,62.75,63.95,63.95,93558,0.0,1.0
2022-11-03,66.44,67.59,64.01,64.14,64.14,70477,0.0,1.0
2022-11-02,71.48,72.885,67.02,67.38,67.38,100956,0.0,1.0
2022-11-01,72.31,73.28,70.75,72.19,72.19,117077,0.0,1.0
2022-10-31,69.96,72.52,69.96,71.76,71.76,94299,0.0,1.0
2022-10-28,70.14,72.83,69.965,70.79,70.79,61026,0.0,1.0
2022-10-27,73.66,73.66,69.26,69.58,69.58,73600,0.0,1.0
2022-10-26,72.73,76.75,72.2614,72.86,72.86,69506,0.0,1.0
2022-10-25,69.93,74.34,69.7284,72.82,72.82,62708,0.0,1.0
2022-10-24,71.28,72.285,69.77,70.44,70.44,49258,0.0,1.0
2022-10-21,69.1,71.51,67.9,71.2,71.2,83353,0.0,1.0
2022-10-20,68.52,70.27,67.5997,68.7,68.7,63846,0.0,1.0
2022-10-19,70.06,71.93,67.65,68.76,68.76,86046,0.0,1.0
2022-10-18,73.53,75.265,69.38,70.88,70.88,113157,0.0,1.0
2022-10-17,69.53,73.18,69.53,72.06,72.06,74831,0.0,1.0
2022-10-14,71.28,73.515,67.94,68.68,68.68,64945,0.0,1.0
2022-10-13,68.86,72.25,68.86,70.76,70.76,53852,0.0,1.0
2022-10-12,71.46,71.92,69.12,70.78,70.78,84935,0.0,1.0
2022-10-11,72.29,73.89,69.21,71.64,71.64,75243,0.0,1.0
2022-10-10,76.75,76.75,72.26,72.33,72.33,52102,0.0,1.0
2022-10-07,76.57,76.94,74.56,75.85,75.85,99391,0.0,1.0
2022-10-06,74.19,77.79,73.91,77.74,77.74,98027,0.0,1.0
2022-10-05,74.03,75.1,71.73,74.96,74.96,139146,0.0,1.0
2022-10-04,74.42,77.21,74.08,75.15,75.15,136392,0.0,1.0
2022-10-03,74.73,75.475,71.42,73.31,73.31,114543,0.0,1.0
2022-09-30,73.82,76.905,71.88,72.92,72.92,111381,0.0,1.0
2022-09-29,75.08,75.08,72.83,74.2,74.2,62407,0.0,1.0
2022-09-28,75.28,77.29,74.715,76.21,76.21,79478,0.0,1.0
2022-09-27,76.12,77.29,72.65,74.31,74.31,90367,0.0,1.0
2022-09-26,75.93,80.11,74.29,75.78,75.78,98193,0.0,1.0
2022-09-23,76.0,77.48,73.5,76.91,76.91,85432,0.0,1.0
2022-09-22,77.83,79.535,74.71,76.61,76.61,85187,0.0,1.0
2022-09-21,82.12,82.86,77.97,78.29,78.29,83937,0.0,1.0
2022-09-20,84.67,84.74,81.99,82.29,82.29,95701,0.0,1.0
2022-09-19,85.8,86.8,82.94,85.99,85.99,64305,0.0,1.0
2022-09-16,89.87,89.87,85.035,86.81,86.81,241806,0.0,1.0
2022-09-15,89.18,92.01,88.1325,91.44,91.44,81035,0.0,1.0
2022-09-14,87.88,90.055,86.19,89.83,89.83,119599,0.0,1.0
2022-09-13,92.12,92.12,87.48,87.94,87.94,80395,0.0,1.0
2022-09-12,92.97,96.74,92.0,94.76,94.76,68366,0.0,1.0
2022-09-09,90.87,93.03,89.8,91.69,91.69,50488,0.0,1.0
2022-09-08,86.67,90.86,86.67,90.54,90.54,62548,0.0,1.0
2022-09-07,85.82,88.16,84.94,88.02,88.02,72247,0.0,1.0
2022-09-06,85.93,86.3,84.25,85.37,85.37,77066,0.0,1.0
2022-09-02,90.69,90.69,85.0,86.1,86.1,64825,0.0,1.0
2022-09-01,90.38,90.38,86.035,89.68,89.68,72541,0.0,1.0
2022-08-31,91.69,92.54,90.55,91.07,91.07,113811,0.0,1.0
2022-08-30,93.25,95.305,90.22,91.04,91.04,150043,0.0,1.0
2022-08-29,94.37,95.37,93.56,93.72,93.72,118465,0.0,1.0
2022-08-26,97.48,98.765,94.5,95.08,95.08,159975,0.0,1.0
2022-08-25,94.49,97.08,93.98,96.95,96.95,59521,0.0,1.0
2022-08-24,94.11,95.53,93.15,94.01,94.01,75185,0.0,1.0
2022-08-23,87.78,94.36,87.78,93.82,93.82,153832,0.0,1.0
2022-08-22,90.73,93.87,87.51,88.28,88.28,99639,0.0,1.0
2022-08-19,95.25,95.25,92.25,92.34,92.34,140403,0.0,1.0
2022-08-18,96.43,97.13,94.35,95.69,95.69,96606,0.0,1.0
2022-08-17,94.06,96.84,93.42,96.43,96.43,120563,0.0,1.0
2022-08-16,92.08,93.38,90.91,93.35,93.35,69662,0.0,1.0
2022-08-15,89.6,94.99,89.6,92.95,92.95,106748,0.0,1.0
2022-08-12,91.12,95.99,89.74,89.77,89.77,72019,0.0,1.0
2022-08-11,91.1,96.6,89.765,90.82,90.82,93674,0.0,1.0
2022-08-10,90.12,92.66,89.905,91.09,91.09,111299,0.0,1.0
2022-08-09,90.23,90.34,85.49,88.42,88.42,132749,0.0,1.0
2022-08-08,86.0,93.79,85.53,89.1,89.1,150987,0.0,1.0
2022-08-05,87.14,89.73,85.65,87.55,87.55,100770,0.0,1.0
2022-08-04,92.03,92.48,85.82,87.4,87.4,100920,0.0,1.0
2022-08-03,91.28,95.0,90.25,92.44,92.44,74607,0.0,1.0
2022-08-02,86.84,92.31,86.84,90.55,90.55,57494,0.0,1.0
2022-08-01,90.09,90.09,86.4,87.56,87.56,134605,0.0,1.0
2022-07-29,88.79,92.59,88.79,91.49,91.49,85659,0.0,1.0
2022-07-28,88.5,90.38,87.44,89.42,89.42,61257,0.0,1.0
2022-07-27,86.34,89.24,85.06,88.5,88.5,77222,0.0,1.0
2022-07-26,84.74,89.3536,81.43,86.12,86.12,116937,0.0,1.0
2022-07-25,88.0,88.0,84.78,84.91,84.91,99993,0.0,1.0
2022-07-22,86.55,90.61,86.145,87.09,87.09,129190,0.0,1.0
2022-07-21,84.98,87.83,83.31,86.41,86.41,253279,0.0,1.0
2022-07-20,82.6,87.88,81.08,84.74,84.74,173621,0.0,1.0
2022-07-19,82.46,83.29,80.63,82.6,82.6,221591,0.0,1.0
2022-07-18,82.46,84.3675,79.855,80.85,80.85,213349,0.0,1.0
2022-07-15,87.87,87.87,81.53,81.99,81.99,111842,0.0,1.0
2022-07-14,87.87,88.53,84.49,85.88,85.88,85035,0.0,1.0
2022-07-13,88.84,90.165,85.77,88.4,88.4,93153,0.0,1.0
2022-07-12,91.7,91.87,89.67,90.73,90.73,65017,0.0,1.0
2022-07-11,97.01,98.5742,90.98,91.25,91.25,87475,0.0,1.0
2022-07-08,99.57,101.31,97.5,98.23,98.23,36454,0.0,1.0
2022-07-07,96.93,99.94,96.22,99.73,99.73,37801,0.0,1.0
2022-07-06,97.22,98.83,95.505,96.96,96.96,61238,0.0,1.0
2022-07-05,96.31,97.89,93.8801,97.83,97.83,95065,0.0,1.0
2022-07-01,94.66,98.465,93.69,97.87,97.87,54599,0.0,1.0
2022-06-30,92.92,96.165,91.0,94.51,94.51,77646,0.0,1.0
2022-06-29,92.68,94.795,90.82,94.15,94.15,38133,0.0,1.0
2022-06-28,96.27,96.99,91.8,91.88,91.88,39474,0.0,1.0
2022-06-27,95.5,95.915,93.19,95.81,95.81,36846,0.0,1.0
2022-06-24,93.36,94.88,92.08,94.62,94.62,125189,0.0,1.0
2022-06-23,88.23,92.48,88.23,92.24,92.24,45570,0.0,1.0
2022-06-22,86.81,90.38,86.49,87.9,87.9,61507,0.0,1.0
2022-06-21,86.13,88.66,85.13,87.51,87.51,80236,0.0,1.0
2022-06-17,85.26,89.12,84.06,84.23,84.23,101276,0.0,1.0
2022-06-16,83.78,85.79,79.96,84.77,84.77,81815,0.0,1.0
2022-06-15,86.76,89.045,85.0,85.75,85.75,136194,0.0,1.0
2022-06-14,87.27,87.27,84.45,85.71,85.71,72200,0.0,1.0
2022-06-13,89.35,90.17,86.11,87.08,87.08,55606,0.0,1.0
2022-06-10,92.57,93.504,91.03,91.47,91.47,58284,0.0,1.0
2022-06-09,97.96,98.58,93.92,94.22,94.22,42526,0.0,1.0
2022-06-08,96.55,102.3,96.55,98.85,98.85,64026,0.0,1.0
2022-06-07,93.77,98.925,93.77,98.09,98.09,56801,0.0,1.0
2022-06-06,98.58,98.58,93.68,95.07,95.07,58846,0.0,1.0
2022-06-03,99.11,100.895,96.94,97.03,97.03,70460,0.0,1.0
2022-06-02,100.22,105.4,99.33,99.5,99.5,185474,0.0,1.0
2022-06-01,100.32,101.44,96.63,99.71,99.71,68651,0.0,1.0
2022-05-31,100.02,101.305,97.84,99.79,99.79,100489,0.0,1.0
2022-05-27,97.03,101.71,94.99,101.03,101.03,71909,0.0,1.0
2022-05-26,95.18,98.115,93.97,95.99,95.99,78182,0.0,1.0
2022-05-25,94.34,95.58,90.045,93.9,93.9,157176,0.0,1.0
2022-05-24,98.05,98.05,93.58,95.17,95.17,108871,0.0,1.0
2022-05-23,101.78,101.78,93.3901,98.36,98.36,82467,0.0,1.0
2022-05-20,102.49,102.49,98.46,100.62,100.62,109835,0.0,1.0
2022-05-19,96.04,101.87,95.14,100.63,100.63,107576,0.0,1.0
2022-05-18,95.15,100.45,95.01,95.97,95.97,119948,0.0,1.0
2022-05-17,95.58,102.97,95.58,97.55,97.55,192951,0.0,1.0
2022-05-16,87.69,94.35,87.69,93.32,93.32,84465,0.0,1.0
2022-05-13,86.72,89.235,85.765,88.19,88.19,110707,0.0,1.0
2022-05-12,84.69,88.24,82.92,84.89,84.89,91980,0.0,1.0
2022-05-11,88.72,91.87,85.3901,85.72,85.72,78571,0.0,1.0
2022-05-10,89.77,92.77,87.22,89.39,89.39,112227,0.0,1.0
2022-05-09,99.9,100.0,86.93,89.95,89.95,182427,0.0,1.0
2022-05-06,104.05,105.61,99.84,100.84,100.84,95937,0.0,1.0
2022-05-05,111.48,112.99,101.64,105.12,105.12,116167,0.0,1.0
2022-05-04,109.47,114.36,107.0,112.86,112.86,133745,0.0,1.0
2022-05-03,111.7,113.91,107.88,109.93,109.93,74199,0.0,1.0
2022-05-02,109.03,113.25,105.86,110.98,110.98,104180,0.0,1.0
2022-04-29,117.99,121.39,108.92,109.84,109.84,114274,0.0,1.0
2022-04-28,122.61,123.24,114.01,117.26,117.26,141125,0.0,1.0
2022-04-27,124.23,124.445,120.0,120.68,120.68,68379,0.0,1.0
2022-04-26,128.92,132.44,124.18,124.64,124.64,83864,0.0,1.0
2022-04-25,125.4,130.7,124.18,130.7,130.7,63311,0.0,1.0
2022-04-22,130.59,131.94,126.73,127.16,127.16,46923,0.0,1.0
2022-04-21,139.05,139.22,129.9,131.9,131.9,76904,0.0,1.0
2022-04-20,138.23,143.51,136.39,138.19,138.19,101245,0.0,1.0
2022-04-19,134.23,139.73,134.23,137.08,137.08,46931,0.0,1.0
2022-04-18,134.82,139.91,132.1,135.11,135.11,60603,0.0,1.0
2022-04-14,140.22,140.22,135.815,135.94,135.94,32212,0.0,1.0
2022-04-13,140.09,140.74,135.82,139.4,139.4,39493,0.0,1.0
2022-04-12,141.2,142.57,137.5,138.58,138.58,67801,0.0,1.0
2022-04-11,145.08,145.08,140.04,140.6,140.6,82291,0.0,1.0
2022-04-08,145.92,147.57,144.96,145.01,145.01,55442,0.0,1.0
2022-04-07,145.75,148.26,143.73,145.79,145.79,71231,0.0,1.0
2022-04-06,143.08,147.8,141.75,146.5,146.5,61647,0.0,1.0
2022-04-05,144.06,148.765,138.8233,144.69,144.69,52757,0.0,1.0
2022-04-04,146.96,149.17,142.925,144.1,144.1,68898,0.0,1.0
2022-04-01,137.44,148.29,137.44,147.57,147.57,108772,0.0,1.0
2022-03-31,136.82,139.81,136.82,138.28,138.28,46783,0.0,1.0
2022-03-30,139.04,141.045,137.33,138.07,138.07,39298,0.0,1.0
2022-03-29,135.45,139.145,135.38,138.45,138.45,103281,0.0,1.0
2022-03-28,134.02,137.42,129.8,134.62,134.62,30191,0.0,1.0
2022-03-25,137.5,138.33,133.17,135.0,135.0,51785,0.0,1.0
2022-03-24,136.77,137.64,133.14,137.26,137.26,49509,0.0,1.0
2022-03-23,139.21,139.21,134.58,135.32,135.32,52638,0.0,1.0
2022-03-22,139.74,144.125,139.725,140.6,140.6,48860,0.0,1.0
2022-03-21,150.86,150.86,138.595,139.82,139.82,63992,0.0,1.0
2022-03-18,138.74,151.43,138.74,150.82,150.82,123704,0.0,1.0
2022-03-17,138.5,140.565,134.25,138.69,138.69,79694,0.0,1.0
2022-03-16,147.49,147.49,137.97,140.3,140.3,75815,0.0,1.0
2022-03-15,142.01,145.69,138.29,145.4,145.4,51340,0.0,1.0
2022-03-14,144.38,147.27,139.93,140.97,140.97,50266,0.0,1.0
2022-03-11,152.81,153.39,142.551,144.0,144.0,33463,0.0,1.0
2022-03-10,150.92,154.845,150.92,152.08,152.08,58173,0.0,1.0
2022-03-09,151.21,154.325,148.86,153.33,153.33,51025,0.0,1.0
2022-03-08,149.07,154.52,146.64,148.82,148.82,55836,0.0,1.0
2022-03-07,148.89,151.46,143.65,149.07,149.07,64471,0.0,1.0
2022-03-04,144.15,149.21,142.88,147.63,147.63,46778,0.0,1.0
2022-03-03,148.47,148.62,144.54,146.6,146.6,52555,0.0,1.0
2022-03-02,145.14,146.54,140.37,146.25,146.25,133772,0.0,1.0
2022-03-01,140.44,150.745,139.03,145.09,145.09,72952,0.0,1.0
2022-02-28,152.0,153.7746,141.35,142.0,142.0,156200,0.0,1.0
2022-02-25,137.92,143.77,130.68,142.77,142.77,129040,0.0,1.0
2022-02-24,124.46,137.17,119.63,137.17,137.17,103774,0.0,1.0
2022-02-23,123.55,130.1171,123.19,127.22,127.22,44631,0.0,1.0
2022-02-22,124.59,126.64,121.55,122.89,122.89,81621,0.0,1.0
2022-02-18,127.21,127.92,124.95,126.48,126.48,40027,0.0,1.0
2022-02-17,130.45,130.5,127.09,127.09,127.09,39421,0.0,1.0
2022-02-16,134.03,134.03,129.31,132.09,132.09,27643,0.0,1.0
2022-02-15,128.89,135.0,128.89,134.18,134.18,54498,0.0,1.0
2022-02-14,128.86,131.64,125.897,127.73,127.73,57832,0.0,1.0
2022-02-11,130.1,130.81,122.82,128.69,128.69,58867,0.0,1.0
2022-02-10,128.75,133.3,128.75,129.52,129.52,55088,0.0,1.0
2022-02-09,133.54,136.05,129.64,130.32,130.32,43676,0.0,1.0
2022-02-08,132.09,135.57,128.5,133.24,133.24,48815,0.0,1.0
2022-02-07,129.65,135.63,129.65,133.32,133.32,41947,0.0,1.0
2022-02-04,131.08,132.42,125.2,131.3,131.3,39331,0.0,1.0
2022-02-03,133.24,135.885,126.3801,131.08,131.08,61877,0.0,1.0
2022-02-02,139.86,139.87,132.52,134.98,134.98,88730,0.0,1.0
2022-02-01,141.7,143.23,136.94,138.64,138.64,47336,0.0,1.0
2022-01-31,131.58,138.04,131.275,137.58,137.58,45871,0.0,1.0
2022-01-28,130.9,132.31,125.1575,132.02,132.02,51052,0.0,1.0
2022-01-27,137.97,142.28,129.01,129.75,129.75,55188,0.0,1.0
2022-01-26,141.5,142.94,135.25,138.23,138.23,46827,0.0,1.0
2022-01-25,149.88,152.32,138.99,139.75,139.75,92913,0.0,1.0
2022-01-24,143.51,154.58,139.775,153.34,153.34,93758,0.0,1.0
2022-01-21,141.53,151.23,140.48,146.64,146.64,87690,0.0,1.0
2022-01-20,143.47,149.31,138.56,142.25,142.25,105259,0.0,1.0
2022-01-19,145.41,146.71,142.96,143.48,143.48,66206,0.0,1.0
2022-01-18,150.25,153.68,145.29,145.96,145.96,52910,0.0,1.0
2022-01-14,145.72,153.22,142.1,152.74,152.74,69871,0.0,1.0
2022-01-13,158.27,158.27,146.49,147.01,147.01,78503,0.0,1.0
2022-01-12,161.66,164.57,158.91,159.0,159.0,41255,0.0,1.0
2022-01-11,157.71,162.08,153.7,161.5,161.5,61790,0.0,1.0
2022-01-10,150.76,157.62,146.82,157.11,157.11,46822,0.0,1.0
2022-01-07,152.64,152.94,148.83,150.38,150.38,63973,0.0,1.0
2022-01-06,154.94,154.94,148.63,152.19,152.19,45445,0.0,1.0
2022-01-05,159.87,159.87,153.3,153.93,153.93,47519,0.0,1.0
2022-01-04,172.01,172.01,156.07,160.77,160.77,67009,0.0,1.0
2022-01-03,183.49,184.07,170.04,171.74,171.74,87936,0.0,1.0
