,JLL_Open,JLL_High,JLL_Low,JLL_Close,JLL_Adj Close,JLL_Volume,JLL_Dividend Amount,JLL_Split Coefficient
2024-03-01,189.37,193.2,188.16,192.86,192.86,323310,0.0,1.0
2024-02-29,188.12,190.54,186.125,190.24,190.24,384051,0.0,1.0
2024-02-28,183.65,186.21,183.65,185.64,185.64,256094,0.0,1.0
2024-02-27,192.0,193.82,185.01,186.92,186.92,379316,0.0,1.0
2024-02-26,181.74,185.79,181.71,184.84,184.84,330844,0.0,1.0
2024-02-23,183.96,184.825,181.64,182.93,182.93,208494,0.0,1.0
2024-02-22,181.69,186.5,181.69,184.46,184.46,249665,0.0,1.0
2024-02-21,182.5,183.245,179.48,180.81,180.81,284074,0.0,1.0
2024-02-20,185.96,186.85,182.512,183.37,183.37,230002,0.0,1.0
2024-02-16,190.02,192.08,188.5,188.94,188.94,268482,0.0,1.0
2024-02-15,182.0,193.52,181.98,192.73,192.73,476096,0.0,1.0
2024-02-14,173.15,176.95,171.94,176.93,176.93,297126,0.0,1.0
2024-02-13,172.39,173.91,169.05,171.66,171.66,357444,0.0,1.0
2024-02-12,177.43,181.62,177.43,179.28,179.28,225777,0.0,1.0
2024-02-09,179.47,179.47,175.47,176.99,176.99,233499,0.0,1.0
2024-02-08,172.16,180.0,171.415,179.42,179.42,324075,0.0,1.0
2024-02-07,172.27,172.27,168.36,171.88,171.88,187932,0.0,1.0
2024-02-06,171.15,174.205,171.15,171.27,171.27,174399,0.0,1.0
2024-02-05,172.79,173.27,171.09,171.6,171.6,180274,0.0,1.0
2024-02-02,176.78,177.53,174.8,175.85,175.85,209730,0.0,1.0
2024-02-01,177.2,180.47,173.84,180.32,180.32,323504,0.0,1.0
2024-01-31,176.84,180.53,175.78,177.06,177.06,757453,0.0,1.0
2024-01-30,176.19,177.67,174.35,177.4,177.4,210191,0.0,1.0
2024-01-29,175.75,177.99,175.0,177.89,177.89,280875,0.0,1.0
2024-01-26,176.67,177.74,176.03,176.39,176.39,184317,0.0,1.0
2024-01-25,175.48,176.36,173.98,175.72,175.72,172614,0.0,1.0
2024-01-24,176.83,177.59,172.49,172.61,172.61,132338,0.0,1.0
2024-01-23,178.45,179.32,174.25,174.72,174.72,224406,0.0,1.0
2024-01-22,174.51,177.96,174.51,175.99,175.99,196625,0.0,1.0
2024-01-19,170.83,174.17,168.1301,173.51,173.51,152036,0.0,1.0
2024-01-18,169.97,172.11,168.14,171.0,171.0,191800,0.0,1.0
2024-01-17,168.29,170.6,167.11,168.7,168.7,221633,0.0,1.0
2024-01-16,170.49,171.54,168.79,171.49,171.49,471993,0.0,1.0
2024-01-12,176.13,176.24,172.41,173.68,173.68,217809,0.0,1.0
2024-01-11,177.23,177.79,173.77,173.98,173.98,325228,0.0,1.0
2024-01-10,178.89,179.8,177.54,178.5,178.5,188839,0.0,1.0
2024-01-09,178.82,180.03,177.31,179.08,179.08,142262,0.0,1.0
2024-01-08,179.35,181.94,178.98,181.45,181.45,248626,0.0,1.0
2024-01-05,176.4,181.51,176.15,179.45,179.45,631807,0.0,1.0
2024-01-04,179.77,182.39,177.65,178.39,178.39,260965,0.0,1.0
2024-01-03,182.56,184.08,179.39,181.0,181.0,263319,0.0,1.0
2024-01-02,186.46,189.0,185.34,186.9,186.9,384786,0.0,1.0
2023-12-29,188.95,189.905,187.55,188.87,188.87,228079,0.0,1.0
2023-12-28,189.37,191.21,188.15,189.98,189.98,276309,0.0,1.0
2023-12-27,185.65,190.51,185.55,189.82,189.82,281366,0.0,1.0
2023-12-26,185.24,187.14,184.88,185.16,185.16,156599,0.0,1.0
2023-12-22,184.81,185.9,183.11,184.69,184.69,158309,0.0,1.0
2023-12-21,182.61,184.67,181.7,184.36,184.36,148268,0.0,1.0
2023-12-20,182.66,186.28,179.76,180.16,180.16,295321,0.0,1.0
2023-12-19,185.1,186.25,181.61,182.79,182.79,209297,0.0,1.0
2023-12-18,186.44,186.44,181.6,182.91,182.91,253596,0.0,1.0
2023-12-15,184.07,186.645,181.925,183.6,183.6,918685,0.0,1.0
2023-12-14,178.63,188.02,178.63,184.38,184.38,584725,0.0,1.0
2023-12-13,164.32,175.33,163.47,174.29,174.29,279405,0.0,1.0
2023-12-12,167.97,168.44,164.2,164.24,164.24,232005,0.0,1.0
2023-12-11,165.86,169.39,165.0,167.67,167.67,204290,0.0,1.0
2023-12-08,164.98,166.815,163.22,166.59,166.59,160474,0.0,1.0
2023-12-07,163.85,165.59,162.935,164.81,164.81,125389,0.0,1.0
2023-12-06,163.45,166.18,162.67,163.51,163.51,242137,0.0,1.0
2023-12-05,161.05,163.16,159.52,161.7,161.7,288164,0.0,1.0
2023-12-04,159.56,162.98,159.56,162.5,162.5,284702,0.0,1.0
2023-12-01,155.61,161.45,155.61,160.97,160.97,229022,0.0,1.0
2023-11-30,156.9,156.9,154.43,155.52,155.52,262657,0.0,1.0
2023-11-29,157.21,159.665,155.785,156.73,156.73,220970,0.0,1.0
2023-11-28,154.49,156.11,153.255,155.5,155.5,232337,0.0,1.0
2023-11-27,155.04,156.09,154.83,155.31,155.31,200253,0.0,1.0
2023-11-24,154.59,156.88,153.93,156.48,156.48,60653,0.0,1.0
2023-11-22,155.5,156.31,154.3,155.24,155.24,152025,0.0,1.0
2023-11-21,153.25,154.94,152.62,153.46,153.46,165609,0.0,1.0
2023-11-20,154.56,155.25,152.32,154.77,154.77,169761,0.0,1.0
2023-11-17,155.39,155.39,152.28,154.19,154.19,188304,0.0,1.0
2023-11-16,153.87,155.68,152.94,153.86,153.86,198422,0.0,1.0
2023-11-15,150.39,155.72,150.39,154.51,154.51,450277,0.0,1.0
2023-11-14,146.34,156.2,146.34,151.08,151.08,399255,0.0,1.0
2023-11-13,138.75,141.21,136.83,140.69,140.69,163979,0.0,1.0
2023-11-10,138.63,140.76,137.31,140.23,140.23,257072,0.0,1.0
2023-11-09,144.83,144.83,137.715,138.35,138.35,248528,0.0,1.0
2023-11-08,145.1,146.1,143.55,143.77,143.77,308040,0.0,1.0
2023-11-07,147.07,147.07,144.15,144.97,144.97,276004,0.0,1.0
2023-11-06,150.06,151.01,146.83,148.03,148.03,314840,0.0,1.0
2023-11-03,143.55,153.14,143.55,151.07,151.07,755190,0.0,1.0
2023-11-02,141.23,143.68,129.57,139.53,139.53,835789,0.0,1.0
2023-11-01,127.44,130.955,126.26,130.39,130.39,618284,0.0,1.0
2023-10-31,125.85,128.78,125.64,127.92,127.92,364572,0.0,1.0
2023-10-30,124.94,126.96,123.17,124.95,124.95,280951,0.0,1.0
2023-10-27,124.19,124.545,120.755,123.28,123.28,765272,0.0,1.0
2023-10-26,123.17,126.38,121.83,124.29,124.29,551178,0.0,1.0
2023-10-25,123.51,123.66,119.46,121.97,121.97,522247,0.0,1.0
2023-10-24,125.11,127.87,124.83,125.05,125.05,346287,0.0,1.0
2023-10-23,125.57,127.4,124.338,124.65,124.65,290511,0.0,1.0
2023-10-20,130.26,130.26,125.95,126.5,126.5,542137,0.0,1.0
2023-10-19,129.73,132.88,129.18,129.91,129.91,573105,0.0,1.0
2023-10-18,131.2,132.1,129.03,130.41,130.41,464072,0.0,1.0
2023-10-17,130.91,135.0,130.91,133.13,133.13,341160,0.0,1.0
2023-10-16,132.79,133.415,131.43,132.6,132.6,260504,0.0,1.0
2023-10-13,134.82,134.82,130.14,130.9,130.9,267017,0.0,1.0
2023-10-12,139.02,139.02,133.43,133.82,133.82,314735,0.0,1.0
2023-10-11,137.73,139.5899,137.69,139.09,139.09,199996,0.0,1.0
2023-10-10,135.61,137.68,134.87,136.6,136.6,379608,0.0,1.0
2023-10-09,133.76,135.26,133.04,135.2,135.2,337983,0.0,1.0
2023-10-06,133.38,137.94,132.63,135.41,135.41,424209,0.0,1.0
2023-10-05,131.87,135.26,131.81,134.38,134.38,457280,0.0,1.0
2023-10-04,133.67,133.67,130.025,132.65,132.65,638469,0.0,1.0
2023-10-03,136.45,137.42,132.815,133.57,133.57,515417,0.0,1.0
2023-10-02,138.76,138.76,135.57,138.25,138.25,607097,0.0,1.0
2023-09-29,142.48,143.98,140.81,141.18,141.18,477311,0.0,1.0
2023-09-28,139.59,141.18,138.4309,140.28,140.28,321551,0.0,1.0
2023-09-27,141.62,143.09,138.4,139.12,139.12,509148,0.0,1.0
2023-09-26,141.4,143.31,140.751,141.0,141.0,406370,0.0,1.0
2023-09-25,142.68,144.65,142.68,143.29,143.29,569140,0.0,1.0
2023-09-22,146.43,146.92,142.91,143.27,143.27,610801,0.0,1.0
2023-09-21,150.73,151.27,145.14,145.8,145.8,466312,0.0,1.0
2023-09-20,156.21,157.35,151.38,151.69,151.69,445247,0.0,1.0
2023-09-19,156.28,157.72,153.435,154.18,154.18,299812,0.0,1.0
2023-09-18,153.77,157.65,153.355,155.82,155.82,221755,0.0,1.0
2023-09-15,154.2,156.9,153.12,154.24,154.24,681722,0.0,1.0
2023-09-14,158.06,159.025,154.4,156.3,156.3,573837,0.0,1.0
2023-09-13,169.13,169.24,151.99,156.02,156.02,574051,0.0,1.0
2023-09-12,167.66,170.88,166.67,168.66,168.66,219160,0.0,1.0
2023-09-11,169.61,172.385,168.555,168.62,168.62,249858,0.0,1.0
2023-09-08,166.31,168.84,165.655,168.35,168.35,160217,0.0,1.0
2023-09-07,169.32,170.425,165.85,165.96,165.96,522133,0.0,1.0
2023-09-06,173.0,174.9,169.23,170.28,170.28,233578,0.0,1.0
2023-09-05,173.17,175.29,171.9201,172.25,172.25,191490,0.0,1.0
2023-09-01,174.59,176.762301,173.63,175.73,175.73,221039,0.0,1.0
2023-08-31,172.77,176.64,171.63,172.8,172.8,281919,0.0,1.0
2023-08-30,174.39,174.78,171.58,172.35,172.35,170510,0.0,1.0
2023-08-29,170.0,175.0,168.995,174.65,174.65,196462,0.0,1.0
2023-08-28,164.92,169.9893,164.92,169.75,169.75,199360,0.0,1.0
2023-08-25,168.68,169.09,162.51,163.17,163.17,310072,0.0,1.0
2023-08-24,165.93,168.38,165.93,167.49,167.49,174166,0.0,1.0
2023-08-23,162.27,165.98,162.0,165.76,165.76,143564,0.0,1.0
2023-08-22,162.77,163.33,161.37,161.45,161.45,138817,0.0,1.0
2023-08-21,163.18,163.45,159.02,161.77,161.77,147868,0.0,1.0
2023-08-18,161.2,163.84,160.94,163.18,163.18,199759,0.0,1.0
2023-08-17,164.95,165.35,162.05,163.27,163.27,177952,0.0,1.0
2023-08-16,166.32,168.2,164.59,164.69,164.69,146858,0.0,1.0
2023-08-15,169.27,169.77,166.605,167.19,167.19,214705,0.0,1.0
2023-08-14,173.01,173.97,171.21,171.6,171.6,151298,0.0,1.0
2023-08-11,172.38,175.56,172.38,174.42,174.42,238118,0.0,1.0
2023-08-10,173.93,176.86,173.77,174.09,174.09,409954,0.0,1.0
2023-08-09,175.22,175.22,171.77,172.1,172.1,186889,0.0,1.0
2023-08-08,171.51,176.0499,170.52,175.05,175.05,360734,0.0,1.0
2023-08-07,168.48,174.21,168.48,173.86,173.86,326460,0.0,1.0
2023-08-04,162.53,169.59,162.53,168.35,168.35,305356,0.0,1.0
2023-08-03,162.83,167.06,159.06,164.32,164.32,554290,0.0,1.0
2023-08-02,163.19,166.5,161.3501,165.51,165.51,343590,0.0,1.0
2023-08-01,165.04,166.37,162.27,165.6,165.6,570836,0.0,1.0
2023-07-31,165.37,168.69,165.37,166.55,166.55,301158,0.0,1.0
2023-07-28,166.99,168.65,164.4,165.71,165.71,332816,0.0,1.0
2023-07-27,172.62,172.62,162.89,164.5,164.5,336419,0.0,1.0
2023-07-26,169.23,172.13,167.865,171.53,171.53,231242,0.0,1.0
2023-07-25,166.71,170.02,166.71,169.31,169.31,294534,0.0,1.0
2023-07-24,170.64,172.24,168.13,168.32,168.32,205041,0.0,1.0
2023-07-21,170.25,170.25,167.16,169.56,169.56,242030,0.0,1.0
2023-07-20,172.66,172.66,168.535,169.45,169.45,223349,0.0,1.0
2023-07-19,172.95,173.38,170.18,171.49,171.49,252371,0.0,1.0
2023-07-18,168.96,172.105,168.96,171.39,171.39,214720,0.0,1.0
2023-07-17,166.6,168.86,165.21,168.66,168.66,168183,0.0,1.0
2023-07-14,170.33,171.04,165.885,166.83,166.83,235623,0.0,1.0
2023-07-13,166.51,170.67,166.51,170.56,170.56,360706,0.0,1.0
2023-07-12,167.36,168.515,164.82,165.66,165.66,289020,0.0,1.0
2023-07-11,161.98,164.79,161.845,163.2,163.2,423448,0.0,1.0
2023-07-10,155.3,160.71,155.3,160.51,160.51,326934,0.0,1.0
2023-07-07,152.74,157.04,152.74,156.28,156.28,418872,0.0,1.0
2023-07-06,153.63,154.42,151.64,153.17,153.17,254953,0.0,1.0
2023-07-05,154.04,157.0,152.58,156.15,156.15,299355,0.0,1.0
2023-07-03,155.34,158.68,153.985,155.46,155.46,197058,0.0,1.0
2023-06-30,156.95,157.14,154.2,155.8,155.8,528411,0.0,1.0
2023-06-29,150.95,155.555,150.95,155.32,155.32,261190,0.0,1.0
2023-06-28,151.1,152.515,149.29,152.07,152.07,255851,0.0,1.0
2023-06-27,149.89,153.72,148.95,152.01,152.01,274704,0.0,1.0
2023-06-26,146.98,152.11,146.98,149.34,149.34,289520,0.0,1.0
2023-06-23,146.41,146.58,143.07,146.03,146.03,682907,0.0,1.0
2023-06-22,146.39,149.3987,145.01,148.3,148.3,328239,0.0,1.0
2023-06-21,146.51,147.81,145.6,147.49,147.49,305354,0.0,1.0
2023-06-20,149.67,149.67,147.37,148.0,148.0,248068,0.0,1.0
2023-06-16,152.07,152.615,149.72,151.02,151.02,487517,0.0,1.0
2023-06-15,149.75,151.32,148.2,151.3,151.3,218051,0.0,1.0
2023-06-14,153.65,155.35,149.81,151.11,151.11,232335,0.0,1.0
2023-06-13,151.92,153.51,151.47,152.66,152.66,165370,0.0,1.0
2023-06-12,151.93,152.44,149.8,151.5,151.5,180027,0.0,1.0
2023-06-09,152.04,153.01,150.765,152.44,152.44,168089,0.0,1.0
2023-06-08,153.42,153.66,148.02,151.46,151.46,231503,0.0,1.0
2023-06-07,150.3,155.27,149.685,154.61,154.61,340877,0.0,1.0
2023-06-06,144.89,149.09,143.55,148.91,148.91,233063,0.0,1.0
2023-06-05,146.96,147.29,141.29,144.0,144.0,233600,0.0,1.0
2023-06-02,145.05,149.49,144.79,147.94,147.94,317395,0.0,1.0
2023-06-01,140.34,142.465,138.66,141.97,141.97,372947,0.0,1.0
2023-05-31,141.44,142.405,139.25,140.34,140.34,389350,0.0,1.0
2023-05-30,145.8,145.8,141.94,142.43,142.43,164712,0.0,1.0
2023-05-26,141.65,144.29,140.11,144.23,144.23,323701,0.0,1.0
2023-05-25,139.23,141.89,137.52,141.38,141.38,329658,0.0,1.0
2023-05-24,139.93,140.745,137.76,139.25,139.25,262073,0.0,1.0
2023-05-23,145.91,148.07,141.3,141.33,141.33,294716,0.0,1.0
2023-05-22,144.31,147.08,143.79,146.08,146.08,236431,0.0,1.0
2023-05-19,147.91,147.91,142.79,144.07,144.07,453676,0.0,1.0
2023-05-18,141.49,147.15,140.985,146.34,146.34,533328,0.0,1.0
2023-05-17,138.82,141.835,137.77,141.61,141.61,439882,0.0,1.0
2023-05-16,137.62,138.7,137.02,137.7,137.7,648040,0.0,1.0
2023-05-15,138.11,139.97,137.395,138.47,138.47,449159,0.0,1.0
2023-05-12,137.71,138.14,135.64,137.11,137.11,668236,0.0,1.0
2023-05-11,135.25,137.46,134.31,136.8,136.8,349099,0.0,1.0
2023-05-10,134.82,137.5,132.97,136.98,136.98,513890,0.0,1.0
2023-05-09,129.82,132.92,127.5,132.39,132.39,496508,0.0,1.0
2023-05-08,135.28,136.025,131.36,131.71,131.71,441802,0.0,1.0
2023-05-05,135.84,137.51,133.2,135.52,135.52,543162,0.0,1.0
2023-05-04,128.58,134.74,123.0,133.5,133.5,926808,0.0,1.0
2023-05-03,137.45,138.3,133.85,134.44,134.44,414962,0.0,1.0
2023-05-02,137.6,138.33,131.29,136.29,136.29,733008,0.0,1.0
2023-05-01,138.09,141.25,138.04,138.82,138.82,401579,0.0,1.0
2023-04-28,136.5,141.455,136.5,139.04,139.04,652137,0.0,1.0
2023-04-27,129.92,138.44,128.16,136.21,136.21,804899,0.0,1.0
