,PVH_Open,PVH_High,PVH_Low,PVH_Close,PVH_Adj Close,PVH_Volume,PVH_Dividend Amount,PVH_Split Coefficient
2024-08-13,95.95,97.33,95.25,97.18,97.1422933857575,559410,0.0,1.0
2024-08-12,96.54,96.54,94.14,95.48,95.4429529993016,468952,0.0,1.0
2024-08-09,96.64,97.03,94.77,96.39,96.3525999120515,481894,0.0,1.0
2024-08-08,95.24,97.23,93.71,96.99,96.9523671072713,545265,0.0,1.0
2024-08-07,96.59,97.45,93.09,93.26,93.2238143769885,734940,0.0,1.0
2024-08-06,93.49,96.21,92.41,94.67,94.6332672857549,791923,0.0,1.0
2024-08-05,90.48,93.99,89.56,92.46,92.4241247833622,860688,0.0,1.0
2024-08-02,95.98,96.335,93.83,94.8,94.7632168447192,841268,0.0,1.0
2024-08-01,102.5,103.215,97.39,99.08,99.04155617062,711629,0.0,1.0
2024-07-31,102.13,104.33,101.22,101.99,101.950427067436,773731,0.0,1.0
2024-07-30,100.43,101.74,100.43,101.18,101.140741353889,649324,0.0,1.0
2024-07-29,100.33,100.93,99.8,100.16,100.121137122016,582820,0.0,1.0
2024-07-26,99.14,101.29,98.775,100.05,100.011179802892,537936,0.0,1.0
2024-07-25,97.9,97.935,95.08,97.11,97.0723205463152,1081523,0.0,1.0
2024-07-24,100.61,101.08,97.87,97.9,97.8620140200212,955676,0.0,1.0
2024-07-23,101.11,102.36,99.97,101.0,100.960811195323,772667,0.0,1.0
2024-07-22,102.06,102.06,99.35,101.9,101.860461988153,995011,0.0,1.0
2024-07-19,101.46,101.67,100.35,100.58,100.540974158669,871441,0.0,1.0
2024-07-18,104.93,105.75,100.79,101.47,101.430628831579,1045514,0.0,1.0
2024-07-17,103.95,108.7,103.95,104.85,104.80931736465,995166,0.0,1.0
2024-07-16,104.23,106.57,102.67,106.49,106.448681031584,1354071,0.0,1.0
2024-07-15,107.04,107.04,103.77,103.89,103.849689852298,1009904,0.0,1.0
2024-07-12,109.81,110.44,106.91,107.42,107.378320184174,673161,0.0,1.0
2024-07-11,108.6,110.07,107.73,108.88,108.837753692542,646699,0.0,1.0
2024-07-10,106.69,107.36,105.75,106.62,106.578630590548,521245,0.0,1.0
2024-07-09,106.37,108.91,106.01,106.41,106.368712072221,840016,0.0,1.0
2024-07-08,104.54,106.65,104.36,106.61,106.568634470628,616423,0.0,1.0
2024-07-05,104.11,105.19,102.26,103.76,103.719740293334,964789,0.0,1.0
2024-07-03,103.61,104.85,102.12,104.67,104.629387206084,519643,0.0,1.0
2024-07-02,105.06,105.29,103.1,103.17,103.129969218035,866958,0.0,1.0
2024-07-01,106.37,106.98,104.525,105.14,105.099204842339,704568,0.0,1.0
2024-06-28,106.31,107.2,104.61,105.87,105.828921596523,1206548,0.0,1.0
2024-06-27,106.95,108.44,105.5,106.93,106.888510308078,994441,0.0,1.0
2024-06-26,111.84,111.99,109.3,109.43,109.387540288161,693109,0.0,1.0
2024-06-25,114.51,114.51,112.48,112.51,112.466345223622,479617,0.0,1.0
2024-06-24,114.2,116.225,113.59,114.14,114.095712770636,692070,0.0,1.0
2024-06-21,111.84,114.61,110.845,114.43,114.385600248325,3546865,0.0,1.0
2024-06-20,112.98,113.6,111.72,111.93,111.886570268243,855675,0.0,1.0
2024-06-18,114.22,114.405,112.6466,113.32,113.276030937169,504813,0.0,1.0
2024-06-17,113.16,114.65,112.02,114.39,114.345615768644,519009,0.0,1.0
2024-06-14,112.12,113.77,110.59,113.26,113.216054217647,889668,0.0,1.0
2024-06-13,115.77,116.33,113.16,113.22,113.176069737965,628005,0.0,1.0
2024-06-12,120.53,120.93,114.98,115.86,115.815045396932,839407,0.0,1.0
2024-06-11,120.2,120.2,116.66,117.8,117.754292661476,640672,0.0,1.0
2024-06-10,118.82,120.825,118.38,120.58,120.533213999327,796702,0.0,1.0
2024-06-07,121.3,122.015,118.64,119.94,119.893462324426,653088,0.0,1.0
2024-06-06,124.33,124.68,120.52,121.31,121.262930753511,813194,0.0,1.0
2024-06-05,118.0,124.37,116.281,123.75,123.701984014072,1259080,0.0375,1.0
2024-06-04,121.57,122.725,118.41,119.25,119.167618650333,1269830,0.0,1.0
2024-06-03,121.19,122.8,120.8,122.48,122.395387272895,1407129,0.0,1.0
2024-05-31,115.44,120.08,115.41,120.01,119.927093620347,885837,0.0,1.0
2024-05-30,115.37,116.38,114.21,115.0,114.920554673277,673761,0.0,1.0
2024-05-29,113.5,116.41,113.5,115.19,115.11042341578,584484,0.0,1.0
2024-05-28,115.58,116.32,113.52,114.79,114.710699747352,619003,0.0,1.0
2024-05-24,113.25,115.72,112.93,115.34,115.260319791441,601464,0.0,1.0
2024-05-23,111.45,112.36,109.37,112.16,112.082516627432,735880,0.0,1.0
2024-05-22,112.88,114.16,110.585,111.27,111.193131465178,696156,0.0,1.0
2024-05-21,113.68,114.23,113.03,114.13,114.051155694444,649825,0.0,1.0
2024-05-20,114.32,114.875,112.985,114.09,114.011183327601,645496,0.0,1.0
2024-05-17,116.32,116.735,113.75,114.08,114.001190235891,588986,0.0,1.0
2024-05-16,115.88,117.15,115.88,116.38,116.299601329356,563083,0.0,1.0
2024-05-15,116.9,117.25,116.15,116.58,116.499463163571,628893,0.0,1.0
2024-05-14,115.0,116.37,114.025,116.31,116.229649687381,508877,0.0,1.0
2024-05-13,114.94,115.41,113.46,113.55,113.471556375222,548025,0.0,1.0
2024-05-10,115.46,115.96,113.68,114.01,113.931238593916,656213,0.0,1.0
2024-05-09,113.95,115.62,113.665,115.4,115.320278341706,431668,0.0,1.0
2024-05-08,112.56,114.03,111.96,113.95,113.871280043651,603731,0.0,1.0
2024-05-07,115.0,116.15,113.4,113.58,113.501535650355,545504,0.0,1.0
2024-05-06,114.36,114.92,113.44,114.56,114.480858638005,647607,0.0,1.0
2024-05-03,112.6,114.46,111.7583,113.22,113.141784348769,531348,0.0,1.0
2024-05-02,111.41,111.51,109.51,110.56,110.483621953717,726313,0.0,1.0
2024-05-01,108.48,111.52,107.57,109.7,109.624216066595,807508,0.0,1.0
2024-04-30,110.88,111.31,108.74,108.8,108.724837812631,847682,0.0,1.0
2024-04-29,112.08,112.91,111.07,112.9,112.822005414026,749787,0.0,1.0
2024-04-26,111.34,112.265,110.3,111.03,110.953297264121,811773,0.0,1.0
2024-04-25,111.67,111.67,109.705,110.79,110.713463063064,767399,0.0,1.0
2024-04-24,113.08,114.764,111.68,112.87,112.792026138893,870999,0.0,1.0
2024-04-23,110.31,113.49,110.04,112.64,112.562185029547,1031536,0.0,1.0
2024-04-22,107.76,110.63,107.03,109.57,109.494305874356,1150909,0.0,1.0
2024-04-19,106.04,107.46,105.43,106.78,106.706233287065,915715,0.0,1.0
2024-04-18,106.31,108.22,105.98,106.31,106.236557976661,895201,0.0,1.0
2024-04-17,108.3,108.33,105.61,105.75,105.676944840861,944221,0.0,1.0
2024-04-16,105.52,108.26,105.52,107.6,107.525666807344,1025425,0.0,1.0
2024-04-15,108.33,108.97,106.25,106.33,106.256544160083,1065315,0.0,1.0
2024-04-12,107.0,107.4,105.485,105.59,105.51705537349,1078972,0.0,1.0
2024-04-11,110.2,110.41,108.12,108.38,108.30512796078,1111499,0.0,1.0
2024-04-10,108.14,111.02,107.67,109.75,109.674181525149,1592146,0.0,1.0
2024-04-09,110.3,110.69,108.96,110.52,110.443649586874,1052785,0.0,1.0
2024-04-08,112.77,113.87,109.05,109.33,109.254471673299,1472123,0.0,1.0
2024-04-05,106.39,108.795,106.02,108.66,108.58493452868,1585394,0.0,1.0
2024-04-04,106.77,108.6763,104.92,106.39,106.316502710347,2157222,0.0,1.0
2024-04-03,108.01,109.3,104.72,105.49,105.417124456382,2376779,0.0,1.0
2024-04-02,111.5,113.32,105.39,108.68,108.604920712102,6729116,0.0,1.0
2024-04-01,140.16,141.15,138.29,139.73,139.633470473887,2140737,0.0,1.0
2024-03-28,139.61,140.75,139.1601,140.61,140.51286254443,897795,0.0,1.0
2024-03-27,138.66,139.46,136.63,139.4,139.303698447433,897852,0.0,1.0
2024-03-26,136.54,137.89,135.55,136.99,136.895363345149,738176,0.0,1.0
2024-03-25,133.76,136.7,133.76,134.77,134.67689698537,811464,0.0,1.0
2024-03-22,136.65,136.74,134.03,134.35,134.257187133519,740336,0.0,1.0
2024-03-21,138.48,138.7,136.53,137.95,137.854700149379,610721,0.0,1.0
2024-03-20,132.4,137.9,131.78,137.4,137.305080105289,1006661,0.0,1.0
2024-03-19,128.32,132.49,128.18,132.45,132.358499708483,1174162,0.0,1.0
2024-03-18,130.97,131.71,128.505,128.81,128.721014325781,965350,0.0,1.0
2024-03-15,130.89,131.93,130.36,130.92,130.829556676743,1237010,0.0,1.0
2024-03-14,132.25,132.25,129.5,131.28,131.189307978328,1095473,0.0,1.0
2024-03-13,132.29,133.47,131.35,132.0,131.9088105815,1594066,0.0,1.0
2024-03-12,130.99,132.84,130.0,132.37,132.278554974797,750085,0.0,1.0
2024-03-11,132.57,132.69,128.82,130.56,130.469805375157,1126396,0.0,1.0
2024-03-08,136.36,137.13,133.235,134.33,134.237200950098,640564,0.0,1.0
2024-03-07,136.07,136.33,133.86,135.5,135.406392680252,737962,0.0,1.0
2024-03-06,138.75,138.78,134.74,135.42,135.326447946566,638365,0.0,1.0
2024-03-05,136.59,139.32,136.59,138.01,137.914658699643,363759,0.0375,1.0
2024-03-04,138.73,139.59,137.1,137.64,137.507550831553,434209,0.0,1.0
2024-03-01,137.1,138.28,134.77,137.84,137.707358374174,497895,0.0,1.0
2024-02-29,137.22,137.73,135.19,136.67,136.538484249843,724575,0.0,1.0
2024-02-28,135.05,137.345,133.83,136.94,136.808224432381,460971,0.0,1.0
2024-02-27,137.76,139.18,136.5501,137.13,136.99804159787,638221,0.0,1.0
2024-02-26,135.99,137.81,134.86,136.02,135.889109736326,521337,0.0,1.0
2024-02-23,135.0,136.71,134.77,135.95,135.819177096408,342523,0.0,1.0
2024-02-22,134.66,136.36,133.36,134.67,134.540408823636,506234,0.0,1.0
2024-02-21,128.62,131.34,127.9,131.2,131.073747959167,492252,0.0,1.0
2024-02-20,130.22,131.22,128.02,129.16,129.035711024436,530904,0.0,1.0
2024-02-16,130.66,132.09,128.29,131.66,131.533305307195,622552,0.0,1.0
2024-02-15,129.42,129.65,127.855,128.08,127.956750294285,594225,0.0,1.0
2024-02-14,129.07,129.24,126.32,128.52,128.39632688805,564597,0.0,1.0
2024-02-13,126.43,127.56,124.88,127.3,127.177500878064,538296,0.0,1.0
2024-02-12,127.76,130.94,127.65,129.61,129.485277995333,736948,0.0,1.0
2024-02-09,126.42,127.94,125.76,127.76,127.637058226092,656535,0.0,1.0
2024-02-08,123.31,128.7,122.3,127.06,126.937731826919,933550,0.0,1.0
2024-02-07,120.38,121.1,118.72,119.79,119.674727652657,670326,0.0,1.0
2024-02-06,121.1,122.5,120.625,120.72,120.603832725844,448049,0.0,1.0
2024-02-05,120.0,121.05,118.475,120.82,120.703736497154,583236,0.0,1.0
2024-02-02,121.14,122.66,118.885,121.38,121.263197616492,861474,0.0,1.0
2024-02-01,121.53,123.615,119.86,123.24,123.121407762864,935558,0.0,1.0
2024-01-31,123.31,123.45,119.27,120.26,120.144275377816,1025367,0.0,1.0
2024-01-30,125.5,125.68,123.51,123.95,123.830724539168,760585,0.0,1.0
2024-01-29,123.13,126.3,122.37,126.03,125.908722982423,768033,0.0,1.0
2024-01-26,121.24,124.14,120.5,123.36,123.241292288437,1008180,0.0,1.0
2024-01-25,118.0,120.715,118.0,119.38,119.265122190285,819659,0.0,1.0
2024-01-24,120.67,120.785,117.5,117.56,117.446873552437,640757,0.0,1.0
2024-01-23,121.12,121.89,118.245,119.14,119.02535313914,748743,0.0,1.0
2024-01-22,120.93,121.67,118.22,119.66,119.544852749954,938033,0.0,1.0
2024-01-19,117.92,121.05,117.005,120.78,120.66377498863,885656,0.0,1.0
2024-01-18,118.0,118.06,115.48,117.9,117.786546374892,933499,0.0,1.0
2024-01-17,117.52,118.56,115.49,116.69,116.577710742037,1154873,0.0,1.0
2024-01-16,118.68,119.345,117.05,118.98,118.865507105044,1038137,0.0,1.0
2024-01-12,123.15,123.15,118.9387,119.96,119.844564063885,655688,0.0,1.0
2024-01-11,122.14,123.22,120.0,123.07,122.951571351637,923741,0.0,1.0
2024-01-10,121.14,123.19,120.4,122.64,122.521985135002,635910,0.0,1.0
2024-01-09,119.31,121.7,119.31,120.9,120.783659514202,652111,0.0,1.0
2024-01-08,118.12,121.34,117.1201,120.76,120.643794234368,763876,0.0,1.0
2024-01-05,117.23,120.66,116.71,117.0,116.887412433099,912387,0.0,1.0
2024-01-04,118.34,118.76,117.03,117.25,117.137171861375,779184,0.0,1.0
2024-01-03,118.82,120.6799,117.515,117.63,117.516806192354,1072281,0.0,1.0
2024-01-02,120.96,122.84,120.13,121.83,121.712764587388,871984,0.0,1.0
2023-12-29,123.0,123.905,121.87,122.12,122.002485524188,524664,0.0,1.0
2023-12-28,122.96,123.46,122.21,123.28,123.161369271388,592509,0.0,1.0
2023-12-27,122.29,123.155,121.935,123.09,122.971552105899,632898,0.0,1.0
2023-12-26,121.93,122.13,120.94,121.75,121.63284157034,473191,0.0,1.0
2023-12-22,119.57,121.785,118.62,120.98,120.86358253125,1071815,0.0,1.0
2023-12-21,121.26,122.36,119.92,121.72,121.602870438947,861895,0.0,1.0
2023-12-20,121.06,122.92,119.685,119.8,119.684718029788,1084262,0.0,1.0
2023-12-19,119.2,122.43,119.2,122.28,122.162331558285,1266453,0.0,1.0
2023-12-18,117.44,119.625,117.4,118.68,118.565795791113,1251612,0.0,1.0
2023-12-15,116.55,118.64,116.15,118.5,118.385969002754,2172780,0.0,1.0
2023-12-14,114.97,118.86,114.97,116.94,116.827470170313,1611304,0.0,1.0
2023-12-13,110.16,113.53,109.94,112.93,112.821328940768,1380839,0.0,1.0
2023-12-12,112.29,112.57,110.75,111.27,111.162926337016,1145272,0.0,1.0
2023-12-11,109.39,111.87,108.725,110.49,110.383676920796,1180079,0.0,1.0
2023-12-08,106.1,108.95,105.31,108.26,108.155822820575,751819,0.0,1.0
2023-12-07,104.51,106.64,104.0,106.36,106.257651165679,955124,0.0,1.0
2023-12-06,104.55,106.23,104.24,104.36,104.259575739472,975580,0.0,1.0
2023-12-05,103.31,104.83,102.61,103.92,103.819999145706,1175604,0.0,1.0
2023-12-04,99.56,104.8,99.45,104.27,104.169662345292,1860794,0.0,1.0
2023-12-01,97.0,100.0,96.07,99.56,99.4641947165754,1530857,0.0,1.0
2023-11-30,89.9,99.05,89.1,97.78,97.6859075872514,2382852,0.0,1.0
2023-11-29,91.45,91.95,90.58,91.5,91.4119507489619,1848165,0.0,1.0
2023-11-28,88.92,90.57,88.155,90.07,89.9833268192241,1327102,0.0375,1.0
2023-11-27,87.5,88.97,86.4,88.85,88.7275597246407,1191525,0.0,1.0
2023-11-24,86.34,87.56,85.49,87.09,86.9699851031959,355591,0.0,1.0
2023-11-22,86.15,87.24,85.4575,86.24,86.1211564507936,782364,0.0,1.0
2023-11-21,85.46,87.04,85.33,85.76,85.6418179176723,759794,0.0,1.0
2023-11-20,84.61,86.79,84.43,86.5,86.3807981562343,825286,0.0,1.0
2023-11-17,84.23,85.31,83.7075,84.85,84.7330719486298,877743,0.0,1.0
2023-11-16,82.41,83.485,81.93,82.86,82.7458142800644,702167,0.0,1.0
2023-11-15,82.12,86.07,81.775,83.18,83.0653733021453,1227487,0.0,1.0
2023-11-14,78.57,82.24,78.57,81.35,81.2378951446204,769448,0.0,1.0
2023-11-13,76.04,76.61,75.23,76.21,76.1049783524464,748484,0.0,1.0
2023-11-10,75.44,76.75,74.81,76.48,76.3746062773272,676473,0.0,1.0
2023-11-09,78.2,78.66,75.64,75.94,75.8353504275657,770419,0.0,1.0
2023-11-08,76.76,78.905,76.38,77.36,77.2533935880495,805129,0.0,1.0
2023-11-07,75.66,77.14,75.35,76.73,76.6242617633278,597714,0.0,1.0
2023-11-06,77.05,77.05,75.422,75.73,75.6256398193251,940047,0.0,1.0
2023-11-03,76.52,77.98,75.67,77.2,77.0936140770091,859838,0.0,1.0
2023-11-02,74.13,75.0,74.09,74.64,74.5371419003622,690610,0.0,1.0
2023-11-01,73.55,74.08,71.32,72.97,72.8694432538776,878184,0.0,1.0
2023-10-31,73.05,74.41,72.69,74.35,74.2475415366014,604111,0.0,1.0
2023-10-30,73.32,74.31,72.52,74.17,74.0677895866809,975526,0.0,1.0
2023-10-27,75.24,75.42,72.05,72.31,72.2103527708359,841342,0.0,1.0
2023-10-26,74.98,76.1,74.1,75.0,74.8966458002031,655591,0.0,1.0
2023-10-25,75.53,76.24,74.5401,74.98,74.8766733613231,920840,0.0,1.0
2023-10-24,76.35,77.1999,75.18,76.2,76.0949921330064,1211048,0.0,1.0
2023-10-23,72.23,74.135,71.54,73.57,73.4686164202793,856847,0.0,1.0
2023-10-20,74.17,74.3,72.82,72.86,72.7595948400374,608138,0.0,1.0
2023-10-19,74.8,75.46,73.405,73.92,73.8181341006802,633552,0.0,1.0
2023-10-18,75.61,76.12,74.625,74.86,74.7568387280428,797202,0.0,1.0
2023-10-17,72.49,76.96,71.95,76.68,76.5743306661277,1142924,0.0,1.0
2023-10-16,70.89,73.0,70.8,72.9,72.7995397177975,687942,0.0,1.0
2023-10-13,71.075,71.415,70.1275,70.19,70.0932742495501,753223,0.0,1.0
2023-10-12,74.24,74.55,71.19,71.45,71.3515378989935,986840,0.0,1.0
2023-10-11,73.7,74.91,73.16,74.2,74.097748245001,560110,0.0,1.0
2023-10-10,74.98,75.72,73.39,73.49,73.3887266647591,893983,0.0,1.0
2023-10-09,73.0,74.99,72.675,74.5,74.3973348282018,1005686,0.0,1.0
2023-10-06,70.83,74.17,69.27,73.74,73.6383821507597,972274,0.0,1.0
2023-10-05,72.46,73.13,71.32,71.63,71.531289848914,644783,0.0,1.0
2023-10-04,71.54,73.14,71.11,72.64,72.5398980123568,683037,0.0,1.0
2023-10-03,74.05,74.65,71.03,71.49,71.3914827767536,1001435,0.0,1.0
2023-10-02,76.26,76.97,75.03,75.22,75.1163426278838,835807,0.0,1.0
2023-09-29,76.83,77.45,76.05,76.51,76.4045649356472,464277,0.0,1.0
2023-09-28,73.73,75.58,73.73,75.17,75.0664115306836,514164,0.0,1.0
2023-09-27,73.92,74.23,72.7,73.52,73.4186853230791,660755,0.0,1.0
2023-09-26,75.5,75.83,73.685,73.7,73.5984372729996,632209,0.0,1.0
2023-09-25,74.73,76.54,74.27,76.17,76.0650334746863,1139704,0.0,1.0
2023-09-22,76.31,76.35,75.26,75.36,75.2561497000441,439654,0.0,1.0
2023-09-21,76.75,76.83,75.55,75.74,75.6356260387652,635185,0.0,1.0
2023-09-20,78.26,79.5399,77.31,77.33,77.2234349297295,630851,0.0,1.0
2023-09-19,77.04,78.16,76.13,77.89,77.782663218371,900909,0.0,1.0
2023-09-18,79.18,79.18,77.17,77.22,77.1135865158892,755517,0.0,1.0
2023-09-15,79.58,79.93,78.8575,79.37,79.260623695495,978661,0.0,1.0
2023-09-14,79.6,80.27,78.605,79.79,79.6800449119761,805246,0.0,1.0
2023-09-13,79.17,79.96,77.83,78.86,78.7513265040536,941395,0.0,1.0
2023-09-12,78.04,80.19,77.71,79.38,79.270609914935,665082,0.0,1.0
2023-09-11,80.08,80.79,78.62,78.66,78.5516021152531,594004,0.0,1.0
2023-09-08,80.03,80.445,78.97,79.74,79.630113814776,503321,0.0,1.0
2023-09-07,79.33,79.7,77.66,79.67,79.5602102786958,1248271,0.0,1.0
2023-09-06,80.25,80.79,78.74,79.89,79.7799071063764,762125,0.0,1.0
2023-09-05,82.75,83.18,79.855,80.5,80.389066492218,853733,0.0375,1.0
2023-09-01,84.12,84.12,82.28,83.5,83.3461064982177,885992,0.0,1.0
2023-08-31,82.52,83.88,80.78,83.6,83.4459221946227,1153366,0.0,1.0
2023-08-30,82.08,84.34,80.0,82.37,82.2181891288406,2034917,0.0,1.0
2023-08-29,78.68,80.86,78.2001,80.82,80.6710458345623,1392092,0.0,1.0
2023-08-28,78.5,80.45,77.81,78.38,78.2355428422791,1914107,0.0,1.0
2023-08-25,79.67,80.59,77.74,78.06,77.9161326137829,1074787,0.0,1.0
2023-08-24,81.09,81.74,79.22,79.25,79.103939401003,705062,0.0,1.0
2023-08-23,79.54,80.78,78.91,80.51,80.3616171757067,628396,0.0,1.0
2023-08-22,79.24,80.66,78.89,80.19,80.0422069472105,732722,0.0,1.0
2023-08-21,82.65,82.65,79.9,80.59,80.4414697328307,618902,0.0,1.0
2023-08-18,80.18,82.49,79.745,82.27,82.1183734324355,832901,0.0,1.0
2023-08-17,82.63,82.945,80.82,81.21,81.060327050542,530399,0.0,1.0
2023-08-16,82.28,83.39,81.58,81.66,81.5094976843647,550711,0.0,1.0
2023-08-15,81.91,82.42,80.82,82.3,82.1483181413571,698808,0.0,1.0
2023-08-14,83.0,83.86,82.46,83.29,83.1364935357671,816453,0.0,1.0
2023-08-11,84.93,85.58,83.54,83.98,83.8252218409619,739209,0.0,1.0
2023-08-10,86.17,88.72,85.2,85.77,85.6119228066123,1019609,0.0,1.0
2023-08-09,84.45,85.46,83.32,84.84,84.6836368300454,634270,0.0,1.0
2023-08-08,85.65,85.86,84.54,84.6,84.4440791586732,958616,0.0,1.0
2023-08-07,86.81,88.01,86.47,87.11,86.94945313844,526427,0.0,1.0
2023-08-04,87.56,89.5,86.52,86.63,86.4703377956958,588268,0.0,1.0
2023-08-03,86.64,87.87,85.47,87.16,86.9993609866426,635088,0.0,1.0
2023-08-02,87.04,87.7,86.03,86.46,86.3006511118072,582091,0.0,1.0
2023-08-01,88.98,89.77,88.04,88.38,88.2171124827842,588530,0.0,1.0
2023-07-31,88.38,89.69,88.38,89.64,89.4747902574878,695119,0.0,1.0
2023-07-28,85.49,88.25,85.14,88.22,88.0574073685361,627375,0.0,1.0
2023-07-27,87.76,88.035,84.261,84.65,84.4939870068758,721114,0.0,1.0
2023-07-26,85.2,87.32,84.2,87.13,86.969416277721,589256,0.0,1.0
2023-07-25,86.59,86.705,84.12,85.54,85.3823467048807,877815,0.0,1.0
2023-07-24,85.91,87.19,85.08,86.29,86.1309644279186,814659,0.0,1.0
2023-07-21,87.99,87.99,85.78,85.92,85.7616463512199,507928,0.0,1.0
2023-07-20,87.94,88.18,86.35,87.57,87.4086053419033,587664,0.0,1.0
2023-07-19,88.41,88.85,87.15,87.67,87.5084210383083,720498,0.0,1.0
2023-07-18,87.25,90.26,87.25,88.44,88.2770019006272,679308,0.0,1.0
2023-07-17,86.83,88.18,86.0,87.44,87.2788449365767,637053,0.0,1.0
2023-07-14,92.48,92.625,88.08,88.2,88.0374442292551,1123518,0.0,1.0
2023-07-13,91.06,93.01,90.71,92.26,92.0899615033002,1141227,0.0,1.0
2023-07-12,89.56,90.99,88.83,90.98,90.8123205893155,1225740,0.0,1.0
2023-07-11,87.74,88.86,86.42,88.29,88.1272783560196,846568,0.0,1.0
2023-07-10,83.88,87.18,83.705,86.98,86.8196927331135,1075770,0.0,1.0
2023-07-07,83.24,85.235,82.22,83.69,83.5357563213873,870351,0.0,1.0
2023-07-06,83.0,84.27,81.47,84.04,83.885111258805,867726,0.0,1.0
2023-07-05,86.26,86.52,83.81,84.17,84.0148716641315,914507,0.0,1.0
2023-07-03,85.1,87.77,84.79,87.37,87.2089739490932,570559,0.0,1.0
2023-06-30,83.95,85.555,83.19,84.97,84.8133972353719,836018,0.0,1.0
2023-06-29,83.09,85.25,82.67,83.63,83.4758669035442,836289,0.0,1.0
2023-06-28,82.76,83.35,81.91,82.7,82.5475809269773,720055,0.0,1.0
2023-06-27,81.15,84.685,80.65,83.28,83.1265119661266,1056038,0.0,1.0
2023-06-26,81.44,84.06,81.215,81.26,81.1102348987446,838188,0.0,1.0
2023-06-23,80.92,81.72,80.15,80.85,80.7009905434838,710047,0.0,1.0
2023-06-22,82.26,82.83,81.35,82.33,82.1782628502786,414003,0.0,1.0
2023-06-21,82.36,83.53,81.72,82.06,81.908760469985,754892,0.0,1.0
2023-06-20,83.68,84.205,81.82,82.34,82.1882444199191,742437,0.0,1.0
2023-06-16,85.11,85.63,83.73,84.34,84.1845583480201,1413553,0.0,1.0
2023-06-15,83.77,84.5,82.93,84.18,84.024853233772,740292,0.0,1.0
2023-06-14,84.86,86.425,83.33,84.28,84.1246689301771,829370,0.0,1.0
2023-06-13,81.32,84.84,80.85,84.25,84.0947242212556,939634,0.0,1.0
2023-06-12,82.4,82.6425,80.575,81.24,81.0902717594635,750252,0.0,1.0
2023-06-09,84.76,85.06,82.07,82.33,82.1782628502786,811174,0.0,1.0
